date,ticker,price
2010-10-01,AMZN,165.229.996
2010-11-01,AMZN,175.399.994
2010-12-01,AMZN,180
2011-01-01,AMZN,169.639.999
2011-02-01,AMZN,173.289.993
2011-03-01,AMZN,180.130.005
2011-04-01,AMZN,195.809.998
2011-05-01,AMZN,196.690.002
2011-06-01,AMZN,204.490.005
2011-07-01,AMZN,222.520.004
2011-08-01,AMZN,215.229.996
2011-09-01,AMZN,216.229.996
2011-10-01,AMZN,213.509.995
2011-11-01,AMZN,192.289.993
2011-12-01,AMZN,173.100.006
2012-01-01,AMZN,194.440.002
2012-02-01,AMZN,179.690.002
2012-03-01,AMZN,202.509.995
2012-04-01,AMZN,231.899.994
2012-05-01,AMZN,212.910.004
2012-06-01,AMZN,228.350.006
2012-07-01,AMZN,233.300.003
2012-08-01,AMZN,248.270.004
2012-09-01,AMZN,254.320.007
2012-10-01,AMZN,232.889.999
2012-11-01,AMZN,252.050.003
2012-12-01,AMZN,250.869.995
2013-01-01,AMZN,265.5
2013-02-01,AMZN,264.269.989
2013-03-01,AMZN,26.648.999
2013-04-01,AMZN,253.809.998
2013-05-01,AMZN,269.200.012
2013-06-01,AMZN,277.690.002
2013-07-01,AMZN,301.220.001
2013-08-01,AMZN,280.980.011
2013-09-01,AMZN,312.640.015
2013-10-01,AMZN,364.029.999
2013-11-01,AMZN,393.619.995
2013-12-01,AMZN,398.790.009
2014-01-01,AMZN,358.690.002
2014-02-01,AMZN,362.100.006
2014-03-01,AMZN,336.369.995
2014-04-01,AMZN,304.130.005
2014-05-01,AMZN,312.549.988
2014-06-01,AMZN,324.779.999
2014-07-01,AMZN,31.298.999
2014-08-01,AMZN,339.040.009
2014-09-01,AMZN,322.440.002
2014-10-01,AMZN,305.459.991
2014-11-01,AMZN,338.640.015
2014-12-01,AMZN,310.350.006
2015-01-01,AMZN,354.529.999
2015-02-01,AMZN,380.160.004
2015-03-01,AMZN,372.100.006
2015-04-01,AMZN,421.779.999
2015-05-01,AMZN,429.230.011
2015-06-01,AMZN,434.089.996
2015-07-01,AMZN,536.150.024
2015-08-01,AMZN,512.890.015
2015-09-01,AMZN,511.890.015
2015-10-01,AMZN,625.900.024
2015-11-01,AMZN,664.799.988
2015-12-01,AMZN,675.890.015
2016-01-01,AMZN,587
2016-02-01,AMZN,55.252.002
2016-03-01,AMZN,593.640.015
2016-04-01,AMZN,659.590.027
2016-05-01,AMZN,722.789.978
2016-06-01,AMZN,715.619.995
2016-07-01,AMZN,758.809.998
2016-08-01,AMZN,769.159.973
2016-09-01,AMZN,837.309.998
2016-10-01,AMZN,789.820.007
2016-11-01,AMZN,750.570.007
2016-12-01,AMZN,749.869.995
2017-01-01,AMZN,82.347.998
2017-02-01,AMZN,845.039.978
2017-03-01,AMZN,886.539.978
2017-04-01,AMZN,92.498.999
2017-05-01,AMZN,994.619.995
2017-06-01,AMZN,968
2017-07-01,AMZN,987.780.029
2017-08-01,AMZN,980.599.976
2017-09-01,AMZN,961.349.976
2017-10-01,AMZN,1.105.280.029
2017-11-01,AMZN,1176.75
2017-12-01,AMZN,1.169.469.971
2018-01-01,AMZN,1.450.890.015
2018-02-01,AMZN,1.512.449.951
2018-03-01,AMZN,1.447.339.966
2018-04-01,AMZN,1.566.130.005
2018-05-01,AMZN,1.629.619.995
2018-06-01,AMZN,1.699.800.049
2018-07-01,AMZN,1.777.439.941
2018-08-01,AMZN,2.012.709.961
2018-09-01,AMZN,2003
2018-10-01,AMZN,159.801.001
2018-11-01,AMZN,1.690.170.044
2018-12-01,AMZN,1.501.969.971
2019-01-01,AMZN,171.872.998
2019-02-01,AMZN,1.639.829.956
2019-03-01,AMZN,1780.75
2019-04-01,AMZN,192.652.002
2019-05-01,AMZN,1.775.069.946
2019-06-01,AMZN,1.893.630.005
2019-07-01,AMZN,1.866.780.029
2019-08-01,AMZN,1.776.290.039
2019-09-01,AMZN,1.735.910.034
2019-10-01,AMZN,1.776.660.034
2019-11-01,AMZN,1.800.800.049
2019-12-01,AMZN,1.847.839.966
2020-01-01,AMZN,2.008.719.971
2020-02-01,AMZN,1883.75
2020-03-01,AMZN,1.949.719.971
2020-04-01,AMZN,2474
2020-05-01,AMZN,2.442.370.117
2020-06-01,AMZN,2.758.820.068
2020-07-01,AMZN,3.164.679.932
2020-08-01,AMZN,3.450.959.961
2020-09-01,AMZN,314.872.998
2020-10-01,AMZN,3.036.149.902
2020-11-01,AMZN,3.168.040.039
2020-12-01,AMZN,3.256.929.932
2021-01-01,AMZN,3.206.199.951
2021-02-01,AMZN,3.092.929.932
2021-03-01,AMZN,3.094.080.078
2021-04-01,AMZN,3.467.419.922
2021-05-01,AMZN,3.223.070.068
2021-06-01,AMZN,3.440.159.912
2021-07-01,AMZN,3.327.590.088
2021-08-01,AMZN,3.470.790.039
2021-09-01,AMZN,3.285.040.039
