Date,ticker,price
01/10/2010,CX,6.812511
04/10/2010,CX,6.567514
05/10/2010,CX,6.70977
06/10/2010,CX,6.70977
07/10/2010,CX,6.535901
08/10/2010,CX,6.622836
11/10/2010,CX,6.385741
12/10/2010,CX,6.441063
13/10/2010,CX,6.441063
14/10/2010,CX,6.385741
15/10/2010,CX,6.251388
18/10/2010,CX,6.140744
19/10/2010,CX,6.093325
20/10/2010,CX,6.362032
21/10/2010,CX,6.369935
22/10/2010,CX,6.472676
25/10/2010,CX,6.448967
26/10/2010,CX,6.891543
27/10/2010,CX,6.88364
28/10/2010,CX,6.98638
29/10/2010,CX,6.931058
01/11/2010,CX,6.828318
02/11/2010,CX,7.223475
03/11/2010,CX,7.270894
04/11/2010,CX,7.626535
05/11/2010,CX,7.634438
08/11/2010,CX,7.745082
09/11/2010,CX,7.476375
10/11/2010,CX,7.547504
11/11/2010,CX,7.547504
12/11/2010,CX,7.326216
15/11/2010,CX,7.231378
16/11/2010,CX,7.025896
17/11/2010,CX,7.065412
18/11/2010,CX,7.239281
19/11/2010,CX,7.342022
22/11/2010,CX,7.342022
23/11/2010,CX,7.097024
24/11/2010,CX,7.373635
26/11/2010,CX,7.168153
29/11/2010,CX,7.191862
30/11/2010,CX,7.144443
01/12/2010,CX,7.270894
02/12/2010,CX,7.571213
03/12/2010,CX,7.681857
06/12/2010,CX,7.808308
07/12/2010,CX,7.832017
08/12/2010,CX,7.784598
09/12/2010,CX,7.816211
10/12/2010,CX,7.737179
13/12/2010,CX,7.871533
14/12/2010,CX,7.958467
15/12/2010,CX,7.855726
16/12/2010,CX,7.958467
17/12/2010,CX,7.974274
20/12/2010,CX,8.14024
21/12/2010,CX,8.590719
22/12/2010,CX,8.480075
23/12/2010,CX,8.401043
27/12/2010,CX,8.353625
28/12/2010,CX,8.345721
29/12/2010,CX,8.503784
30/12/2010,CX,8.480075
31/12/2010,CX,8.464269
03/01/2011,CX,8.66975
04/01/2011,CX,8.66975
05/01/2011,CX,8.646041
06/01/2011,CX,8.39314
07/01/2011,CX,8.503784
10/01/2011,CX,8.282496
11/01/2011,CX,8.432656
12/01/2011,CX,8.5433
13/01/2011,CX,8.306206
14/01/2011,CX,8.306206
18/01/2011,CX,8.092821
19/01/2011,CX,7.974274
20/01/2011,CX,8.069111
21/01/2011,CX,7.96637
24/01/2011,CX,8.408947
25/01/2011,CX,8.345721
26/01/2011,CX,8.203465
27/01/2011,CX,8.195562
28/01/2011,CX,7.484279
31/01/2011,CX,7.484279
01/02/2011,CX,7.587019
02/02/2011,CX,7.492182
03/02/2011,CX,7.666051
04/02/2011,CX,7.515891
07/02/2011,CX,7.71347
08/02/2011,CX,7.752985
09/02/2011,CX,7.673954
10/02/2011,CX,7.523794
11/02/2011,CX,7.452666
14/02/2011,CX,7.626535
15/02/2011,CX,7.428957
16/02/2011,CX,7.579116
17/02/2011,CX,7.681857
18/02/2011,CX,7.658148
22/02/2011,CX,7.16025
23/02/2011,CX,7.152346
24/02/2011,CX,7.049606
25/02/2011,CX,7.152346
28/02/2011,CX,7.104928
01/03/2011,CX,6.907349
02/03/2011,CX,6.98638
03/03/2011,CX,7.017993
04/03/2011,CX,7.025896
07/03/2011,CX,6.907349
08/03/2011,CX,7.025896
09/03/2011,CX,6.85993
10/03/2011,CX,6.796705
11/03/2011,CX,6.938962
14/03/2011,CX,7.002187
15/03/2011,CX,6.954768
16/03/2011,CX,6.717673
17/03/2011,CX,6.693964
18/03/2011,CX,6.780899
21/03/2011,CX,6.891543
22/03/2011,CX,6.85993
23/03/2011,CX,6.852027
24/03/2011,CX,7.144443
25/03/2011,CX,6.962671
28/03/2011,CX,6.994284
29/03/2011,CX,7.041702
30/03/2011,CX,7.097024
31/03/2011,CX,7.057509
01/04/2011,CX,7.255087
04/04/2011,CX,7.26299
05/04/2011,CX,7.247184
06/04/2011,CX,7.270894
07/04/2011,CX,7.16025
08/04/2011,CX,6.98638
11/04/2011,CX,6.85993
12/04/2011,CX,6.812511
13/04/2011,CX,6.88364
14/04/2011,CX,6.923155
15/04/2011,CX,7.002187
18/04/2011,CX,6.670255
19/04/2011,CX,6.780899
20/04/2011,CX,6.85993
21/04/2011,CX,6.994284
25/04/2011,CX,6.946865
26/04/2011,CX,6.899446
27/04/2011,CX,6.812511
28/04/2011,CX,6.867833
29/04/2011,CX,6.85993
02/05/2011,CX,6.828318
03/05/2011,CX,6.646545
04/05/2011,CX,6.30671
