Date,ticker,price
01/10/2010,FOR,16.98
04/10/2010,FOR,16.77
05/10/2010,FOR,17.049999
06/10/2010,FOR,16.75
07/10/2010,FOR,17.1
08/10/2010,FOR,17.450001
11/10/2010,FOR,17.57
12/10/2010,FOR,17.58
13/10/2010,FOR,17.67
14/10/2010,FOR,17.93
15/10/2010,FOR,17.620001
18/10/2010,FOR,17.950001
19/10/2010,FOR,17.030001
20/10/2010,FOR,17.34
21/10/2010,FOR,16.98
22/10/2010,FOR,17.309999
25/10/2010,FOR,17.549999
26/10/2010,FOR,17.26
27/10/2010,FOR,17.02
28/10/2010,FOR,16.809999
29/10/2010,FOR,17.1
01/11/2010,FOR,17.51
02/11/2010,FOR,17.83
03/11/2010,FOR,18.040001
04/11/2010,FOR,18.530001
05/11/2010,FOR,18.780001
08/11/2010,FOR,18.91
09/11/2010,FOR,18.58
10/11/2010,FOR,18.92
11/11/2010,FOR,18.780001
12/11/2010,FOR,18.450001
15/11/2010,FOR,18.200001
16/11/2010,FOR,17.280001
17/11/2010,FOR,17.299999
18/11/2010,FOR,18.01
19/11/2010,FOR,18.280001
22/11/2010,FOR,18.4
23/11/2010,FOR,18.120001
24/11/2010,FOR,18.41
26/11/2010,FOR,18.530001
29/11/2010,FOR,18.49
30/11/2010,FOR,18.02
01/12/2010,FOR,18.09
02/12/2010,FOR,18.57
03/12/2010,FOR,18.540001
06/12/2010,FOR,18.540001
07/12/2010,FOR,18.120001
08/12/2010,FOR,17.940001
09/12/2010,FOR,17.879999
10/12/2010,FOR,18.290001
13/12/2010,FOR,18.110001
14/12/2010,FOR,18.32
15/12/2010,FOR,18.200001
16/12/2010,FOR,18.450001
17/12/2010,FOR,18.639999
20/12/2010,FOR,18.459999
21/12/2010,FOR,18.639999
22/12/2010,FOR,18.690001
23/12/2010,FOR,18.790001
27/12/2010,FOR,19.370001
28/12/2010,FOR,19.08
29/12/2010,FOR,19.75
30/12/2010,FOR,19.32
31/12/2010,FOR,19.299999
03/01/2011,FOR,19.23
04/01/2011,FOR,18.799999
05/01/2011,FOR,18.6
06/01/2011,FOR,19.1
07/01/2011,FOR,19.41
10/01/2011,FOR,19.629999
11/01/2011,FOR,19.620001
12/01/2011,FOR,20.09
13/01/2011,FOR,19.85
14/01/2011,FOR,19.950001
18/01/2011,FOR,19.950001
19/01/2011,FOR,19.66
20/01/2011,FOR,19.25
21/01/2011,FOR,19.23
24/01/2011,FOR,19.129999
25/01/2011,FOR,19.43
26/01/2011,FOR,19.85
27/01/2011,FOR,19.940001
28/01/2011,FOR,18.49
31/01/2011,FOR,18.66
01/02/2011,FOR,18.639999
02/02/2011,FOR,18.459999
03/02/2011,FOR,18.040001
04/02/2011,FOR,18.07
07/02/2011,FOR,18.620001
08/02/2011,FOR,18.59
09/02/2011,FOR,18.639999
10/02/2011,FOR,18.73
11/02/2011,FOR,18.860001
14/02/2011,FOR,18.74
15/02/2011,FOR,18.75
16/02/2011,FOR,19
17/02/2011,FOR,20.049999
18/02/2011,FOR,20.450001
22/02/2011,FOR,19.65
23/02/2011,FOR,19
24/02/2011,FOR,19.059999
25/02/2011,FOR,19.700001
28/02/2011,FOR,19.26
01/03/2011,FOR,18.77
02/03/2011,FOR,18.719999
03/03/2011,FOR,19.219999
04/03/2011,FOR,19.139999
07/03/2011,FOR,19.02
08/03/2011,FOR,19.139999
09/03/2011,FOR,19.139999
10/03/2011,FOR,18.52
11/03/2011,FOR,18.43
14/03/2011,FOR,18.360001
15/03/2011,FOR,18.35
16/03/2011,FOR,18.139999
17/03/2011,FOR,18.51
18/03/2011,FOR,19.059999
21/03/2011,FOR,19.709999
22/03/2011,FOR,19.42
23/03/2011,FOR,18.950001
24/03/2011,FOR,18.799999
25/03/2011,FOR,19.02
28/03/2011,FOR,18.530001
29/03/2011,FOR,18.82
30/03/2011,FOR,19.030001
31/03/2011,FOR,19.02
01/04/2011,FOR,19.02
04/04/2011,FOR,19.030001
05/04/2011,FOR,18.860001
06/04/2011,FOR,19.030001
07/04/2011,FOR,18.870001
08/04/2011,FOR,18.370001
11/04/2011,FOR,18.27
12/04/2011,FOR,17.66
13/04/2011,FOR,18.09
14/04/2011,FOR,18.719999
15/04/2011,FOR,18.24
18/04/2011,FOR,17.870001
19/04/2011,FOR,17.92
20/04/2011,FOR,18.4
21/04/2011,FOR,18.799999
25/04/2011,FOR,18.799999
26/04/2011,FOR,19.08
27/04/2011,FOR,19.17
28/04/2011,FOR,19.790001
29/04/2011,FOR,19.67
02/05/2011,FOR,19.58
03/05/2011,FOR,19.219999
04/05/2011,FOR,18.92
05/05/2011,FOR,18.190001
06/05/2011,FOR,17.950001
09/05/2011,FOR,17.91
10/05/2011,FOR,18.24
11/05/2011,FOR,17.51
12/05/2011,FOR,18.01
13/05/2011,FOR,17.780001
16/05/2011,FOR,17.790001
17/05/2011,FOR,17.23
18/05/2011,FOR,17.530001
19/05/2011,FOR,17.549999
20/05/2011,FOR,17.190001
23/05/2011,FOR,16.77
24/05/2011,FOR,16.83
25/05/2011,FOR,17.01
26/05/2011,FOR,17.41
27/05/2011,FOR,17.48
31/05/2011,FOR,18.23
01/06/2011,FOR,16.73
02/06/2011,FOR,16.68
03/06/2011,FOR,16.309999
06/06/2011,FOR,15.78
07/06/2011,FOR,15.41
08/06/2011,FOR,14.75
09/06/2011,FOR,16.32
10/06/2011,FOR,16
13/06/2011,FOR,15.8
14/06/2011,FOR,16.040001
15/06/2011,FOR,16.01
16/06/2011,FOR,16.08
17/06/2011,FOR,16.110001
20/06/2011,FOR,16.16
21/06/2011,FOR,16.65
22/06/2011,FOR,16.43
23/06/2011,FOR,16.049999
24/06/2011,FOR,16.059999
27/06/2011,FOR,16.360001
28/06/2011,FOR,16.440001
29/06/2011,FOR,16.389999
30/06/2011,FOR,16.43
01/07/2011,FOR,16.66
05/07/2011,FOR,16.889999
06/07/2011,FOR,17.07
07/07/2011,FOR,17.57
08/07/2011,FOR,17.440001
11/07/2011,FOR,16.4
12/07/2011,FOR,16.68
13/07/2011,FOR,17.120001
14/07/2011,FOR,16.719999
15/07/2011,FOR,16.870001
18/07/2011,FOR,16.379999
19/07/2011,FOR,17.129999
20/07/2011,FOR,17.08
21/07/2011,FOR,17.33
22/07/2011,FOR,17.219999
25/07/2011,FOR,16.98
26/07/2011,FOR,16.66
27/07/2011,FOR,16.34
