Date,Open,price
01/10/2010,NSRGY,53.779999
04/10/2010,NSRGY,53.599998
05/10/2010,NSRGY,54.380001
06/10/2010,NSRGY,54.799999
07/10/2010,NSRGY,54.77
08/10/2010,NSRGY,54.48
11/10/2010,NSRGY,54.130001
12/10/2010,NSRGY,54.720001
13/10/2010,NSRGY,54.689999
14/10/2010,NSRGY,54.860001
15/10/2010,NSRGY,54.509998
18/10/2010,NSRGY,54.650002
19/10/2010,NSRGY,53.400002
20/10/2010,NSRGY,54.299999
21/10/2010,NSRGY,55.220001
22/10/2010,NSRGY,53.869999
25/10/2010,NSRGY,54.779999
26/10/2010,NSRGY,54.189999
27/10/2010,NSRGY,53.82
28/10/2010,NSRGY,54.549999
29/10/2010,NSRGY,54.849998
01/11/2010,NSRGY,54.400002
02/11/2010,NSRGY,55.439999
03/11/2010,NSRGY,56.16
04/11/2010,NSRGY,58.040001
05/11/2010,NSRGY,58.25
08/11/2010,NSRGY,57.669998
09/11/2010,NSRGY,56.950001
10/11/2010,NSRGY,56.669998
11/11/2010,NSRGY,56.279999
12/11/2010,NSRGY,56.040001
15/11/2010,NSRGY,55.889999
16/11/2010,NSRGY,54.830002
17/11/2010,NSRGY,54.959999
18/11/2010,NSRGY,55.779999
19/11/2010,NSRGY,56.290001
22/11/2010,NSRGY,56.07
23/11/2010,NSRGY,54.970001
24/11/2010,NSRGY,55.799999
26/11/2010,NSRGY,56.529999
29/11/2010,NSRGY,56.09
30/11/2010,NSRGY,54.73
01/12/2010,NSRGY,55.029999
02/12/2010,NSRGY,56.07
03/12/2010,NSRGY,56.700001
06/12/2010,NSRGY,56.060001
07/12/2010,NSRGY,55.82
08/12/2010,NSRGY,56.279999
09/12/2010,NSRGY,56.43
10/12/2010,NSRGY,56.799999
13/12/2010,NSRGY,57.580002
14/12/2010,NSRGY,58.139999
15/12/2010,NSRGY,57.150002
16/12/2010,NSRGY,57.939999
17/12/2010,NSRGY,57.700001
20/12/2010,NSRGY,57.849998
21/12/2010,NSRGY,58.490002
22/12/2010,NSRGY,58.869999
23/12/2010,NSRGY,58.990002
27/12/2010,NSRGY,58.950001
28/12/2010,NSRGY,59.360001
29/12/2010,NSRGY,59.279999
30/12/2010,NSRGY,58.330002
31/12/2010,NSRGY,58.82
03/01/2011,NSRGY,59.310001
04/01/2011,NSRGY,57.669998
05/01/2011,NSRGY,56.200001
06/01/2011,NSRGY,55.5
07/01/2011,NSRGY,55.619999
10/01/2011,NSRGY,55.360001
11/01/2011,NSRGY,55.290001
12/01/2011,NSRGY,55.529999
13/01/2011,NSRGY,53.82
14/01/2011,NSRGY,53.790001
18/01/2011,NSRGY,54.439999
19/01/2011,NSRGY,54.93
20/01/2011,NSRGY,54.259998
21/01/2011,NSRGY,54.889999
24/01/2011,NSRGY,55.970001
25/01/2011,NSRGY,56
26/01/2011,NSRGY,55.330002
27/01/2011,NSRGY,54.470001
28/01/2011,NSRGY,54.169998
31/01/2011,NSRGY,54.220001
01/02/2011,NSRGY,55.200001
02/02/2011,NSRGY,55
03/02/2011,NSRGY,55
04/02/2011,NSRGY,54.450001
07/02/2011,NSRGY,54
08/02/2011,NSRGY,53.43
09/02/2011,NSRGY,52.869999
10/02/2011,NSRGY,53.150002
11/02/2011,NSRGY,53.439999
14/02/2011,NSRGY,53.400002
15/02/2011,NSRGY,54.310001
16/02/2011,NSRGY,54.720001
17/02/2011,NSRGY,55.73
18/02/2011,NSRGY,55.389999
22/02/2011,NSRGY,55.650002
23/02/2011,NSRGY,56.709999
24/02/2011,NSRGY,56.779999
25/02/2011,NSRGY,56.400002
28/02/2011,NSRGY,56.619999
01/03/2011,NSRGY,56.459999
02/03/2011,NSRGY,56.950001
03/03/2011,NSRGY,56.84
04/03/2011,NSRGY,55.98
07/03/2011,NSRGY,55.860001
08/03/2011,NSRGY,55.509998
09/03/2011,NSRGY,55.669998
10/03/2011,NSRGY,55.209999
11/03/2011,NSRGY,55.540001
14/03/2011,NSRGY,55.43
15/03/2011,NSRGY,53.860001
16/03/2011,NSRGY,53.66
17/03/2011,NSRGY,55.330002
18/03/2011,NSRGY,55.009998
21/03/2011,NSRGY,56.32
22/03/2011,NSRGY,55.860001
23/03/2011,NSRGY,56.91
24/03/2011,NSRGY,57.02
25/03/2011,NSRGY,56.77
28/03/2011,NSRGY,57.099998
29/03/2011,NSRGY,57.23
30/03/2011,NSRGY,57.990002
31/03/2011,NSRGY,57.48
01/04/2011,NSRGY,57.259998
04/04/2011,NSRGY,57.560001
05/04/2011,NSRGY,57.68
06/04/2011,NSRGY,58.080002
07/04/2011,NSRGY,57.990002
08/04/2011,NSRGY,58.290001
11/04/2011,NSRGY,58.48
12/04/2011,NSRGY,58.610001
13/04/2011,NSRGY,58.73
14/04/2011,NSRGY,59.799999
15/04/2011,NSRGY,61.139999
18/04/2011,NSRGY,58.400002
19/04/2011,NSRGY,59.490002
20/04/2011,NSRGY,60.400002
21/04/2011,NSRGY,61.09
25/04/2011,NSRGY,61.419998
26/04/2011,NSRGY,61.610001
27/04/2011,NSRGY,61.849998
28/04/2011,NSRGY,61.580002
29/04/2011,NSRGY,62.200001
02/05/2011,NSRGY,62.470001
03/05/2011,NSRGY,62.849998
04/05/2011,NSRGY,62.740002
05/05/2011,NSRGY,61.91
06/05/2011,NSRGY,61.419998
09/05/2011,NSRGY,61.849998
10/05/2011,NSRGY,61.349998
11/05/2011,NSRGY,60.66
12/05/2011,NSRGY,61.900002
13/05/2011,NSRGY,61.349998
16/05/2011,NSRGY,61.75
17/05/2011,NSRGY,61.75
18/05/2011,NSRGY,62.299999
19/05/2011,NSRGY,62.419998
20/05/2011,NSRGY,62.25
23/05/2011,NSRGY,61.950001
24/05/2011,NSRGY,62
25/05/2011,NSRGY,62.360001
26/05/2011,NSRGY,63.310001
27/05/2011,NSRGY,63.849998
31/05/2011,NSRGY,64.330002
01/06/2011,NSRGY,63.59
02/06/2011,NSRGY,64.25
03/06/2011,NSRGY,64.800003
06/06/2011,NSRGY,64.230003
07/06/2011,NSRGY,63.77
08/06/2011,NSRGY,63.549999
09/06/2011,NSRGY,63.389999
10/06/2011,NSRGY,62.5
13/06/2011,NSRGY,62.830002
14/06/2011,NSRGY,62.830002
15/06/2011,NSRGY,61.349998
16/06/2011,NSRGY,61.459999
17/06/2011,NSRGY,61.880001
20/06/2011,NSRGY,62.349998
21/06/2011,NSRGY,62.560001
22/06/2011,NSRGY,61.849998
23/06/2011,NSRGY,61.639999
24/06/2011,NSRGY,61.700001
27/06/2011,NSRGY,62.060001
28/06/2011,NSRGY,62.189999
29/06/2011,NSRGY,61.939999
30/06/2011,NSRGY,62.380001
01/07/2011,NSRGY,62.23
05/07/2011,NSRGY,63.099998
06/07/2011,NSRGY,62.849998
07/07/2011,NSRGY,62.669998
08/07/2011,NSRGY,63.009998
11/07/2011,NSRGY,62.290001
12/07/2011,NSRGY,62.299999
13/07/2011,NSRGY,62.700001
14/07/2011,NSRGY,62.959999
15/07/2011,NSRGY,63.299999
18/07/2011,NSRGY,61.91
19/07/2011,NSRGY,62.119999
20/07/2011,NSRGY,62.419998
21/07/2011,NSRGY,63.290001
22/07/2011,NSRGY,63.450001
25/07/2011,NSRGY,64.360001
26/07/2011,NSRGY,64.489998
27/07/2011,NSRGY,63.59
28/07/2011,NSRGY,63.209999
29/07/2011,NSRGY,63.75
01/08/2011,NSRGY,63.900002
02/08/2011,NSRGY,64.199997
03/08/2011,NSRGY,63.970001
04/08/2011,NSRGY,61.75
05/08/2011,NSRGY,62.200001
08/08/2011,NSRGY,59.720001
09/08/2011,NSRGY,63.900002
10/08/2011,NSRGY,62.68
11/08/2011,NSRGY,62.450001
12/08/2011,NSRGY,63.490002
15/08/2011,NSRGY,62.82
16/08/2011,NSRGY,63.049999
17/08/2011,NSRGY,64.300003
18/08/2011,NSRGY,62.349998
19/08/2011,NSRGY,60.990002
22/08/2011,NSRGY,61.709999
23/08/2011,NSRGY,62.740002
24/08/2011,NSRGY,63.349998
25/08/2011,NSRGY,62.25
26/08/2011,NSRGY,62.18
29/08/2011,NSRGY,62.549999
30/08/2011,NSRGY,60.630001
31/08/2011,NSRGY,62.080002
01/09/2011,NSRGY,62.459999
02/09/2011,NSRGY,62.599998
06/09/2011,NSRGY,58.639999
07/09/2011,NSRGY,58.580002
08/09/2011,NSRGY,57.18
09/09/2011,NSRGY,56.029999
12/09/2011,NSRGY,55.900002
13/09/2011,NSRGY,56.150002
14/09/2011,NSRGY,56.790001
15/09/2011,NSRGY,56.639999
16/09/2011,NSRGY,55.889999
19/09/2011,NSRGY,55.5
20/09/2011,NSRGY,55.41
21/09/2011,NSRGY,54.400002
22/09/2011,NSRGY,53.610001
23/09/2011,NSRGY,53.799999
26/09/2011,NSRGY,54.82
27/09/2011,NSRGY,54.900002
28/09/2011,NSRGY,54.75
29/09/2011,NSRGY,56.07
30/09/2011,NSRGY,55.099998
03/10/2011,NSRGY,54.130001
04/10/2011,NSRGY,55.299999
05/10/2011,NSRGY,54.349998
06/10/2011,NSRGY,55.25
07/10/2011,NSRGY,54.400002
10/10/2011,NSRGY,56.189999
11/10/2011,NSRGY,56.43
12/10/2011,NSRGY,57.299999
13/10/2011,NSRGY,57.82
14/10/2011,NSRGY,58.549999
17/10/2011,NSRGY,57.400002
18/10/2011,NSRGY,57.98
19/10/2011,NSRGY,56.830002
20/10/2011,NSRGY,57.630001
21/10/2011,NSRGY,58.689999
24/10/2011,NSRGY,58.290001
25/10/2011,NSRGY,58.040001
26/10/2011,NSRGY,57.900002
27/10/2011,NSRGY,59.290001
28/10/2011,NSRGY,59.549999
31/10/2011,NSRGY,57.759998
01/11/2011,NSRGY,57
02/11/2011,NSRGY,57.16
03/11/2011,NSRGY,58.200001
04/11/2011,NSRGY,57.360001
07/11/2011,NSRGY,56.639999
08/11/2011,NSRGY,57.139999
09/11/2011,NSRGY,55.200001
10/11/2011,NSRGY,55.880001
11/11/2011,NSRGY,56.75
14/11/2011,NSRGY,56.490002
15/11/2011,NSRGY,56.779999
16/11/2011,NSRGY,56.240002
17/11/2011,NSRGY,56.150002
18/11/2011,NSRGY,56.419998
21/11/2011,NSRGY,56.299999
22/11/2011,NSRGY,56.490002
23/11/2011,NSRGY,54.91
25/11/2011,NSRGY,54.029999
28/11/2011,NSRGY,54.470001
29/11/2011,NSRGY,55.119999
30/11/2011,NSRGY,56.130001
01/12/2011,NSRGY,56.48
02/12/2011,NSRGY,55.41
05/12/2011,NSRGY,55.849998
06/12/2011,NSRGY,55.610001
07/12/2011,NSRGY,56.25
08/12/2011,NSRGY,55.540001
09/12/2011,NSRGY,56
12/12/2011,NSRGY,55.189999
13/12/2011,NSRGY,54.490002
14/12/2011,NSRGY,54.189999
15/12/2011,NSRGY,54.889999
16/12/2011,NSRGY,54.419998
19/12/2011,NSRGY,55.669998
20/12/2011,NSRGY,56.5
21/12/2011,NSRGY,56.5
22/12/2011,NSRGY,56.720001
23/12/2011,NSRGY,57
27/12/2011,NSRGY,57.150002
28/12/2011,NSRGY,56.860001
29/12/2011,NSRGY,57.290001
30/12/2011,NSRGY,57.709999
03/01/2012,NSRGY,58.34
04/01/2012,NSRGY,57.93
05/01/2012,NSRGY,57.490002
06/01/2012,NSRGY,56.700001
09/01/2012,NSRGY,57.41
10/01/2012,NSRGY,57.849998
11/01/2012,NSRGY,56.599998
12/01/2012,NSRGY,56.52
13/01/2012,NSRGY,56.099998
17/01/2012,NSRGY,56.029999
18/01/2012,NSRGY,57.630001
19/01/2012,NSRGY,57.630001
20/01/2012,NSRGY,57.560001
23/01/2012,NSRGY,57.610001
24/01/2012,NSRGY,57.900002
