Date,ticker,price
01/10/2010,NVDA,2.8375
04/10/2010,NVDA,2.81
05/10/2010,NVDA,2.83
06/10/2010,NVDA,2.695
07/10/2010,NVDA,2.675
08/10/2010,NVDA,2.715
11/10/2010,NVDA,2.7025
12/10/2010,NVDA,2.755
13/10/2010,NVDA,2.835
14/10/2010,NVDA,2.79
15/10/2010,NVDA,2.8225
18/10/2010,NVDA,2.84
19/10/2010,NVDA,2.8225
20/10/2010,NVDA,2.8225
21/10/2010,NVDA,2.7725
22/10/2010,NVDA,2.95
25/10/2010,NVDA,2.9775
26/10/2010,NVDA,2.9675
27/10/2010,NVDA,3.01
28/10/2010,NVDA,3.0125
29/10/2010,NVDA,3.005
01/11/2010,NVDA,3.01
02/11/2010,NVDA,3.0725
03/11/2010,NVDA,3.095
04/11/2010,NVDA,3.1
05/11/2010,NVDA,3.1525
08/11/2010,NVDA,3.165
09/11/2010,NVDA,3.1475
10/11/2010,NVDA,3.185
11/11/2010,NVDA,3.1525
12/11/2010,NVDA,3.315
15/11/2010,NVDA,3.275
16/11/2010,NVDA,3.1775
17/11/2010,NVDA,3.23
18/11/2010,NVDA,3.33
19/11/2010,NVDA,3.4375
22/11/2010,NVDA,3.44
23/11/2010,NVDA,3.36
24/11/2010,NVDA,3.4425
26/11/2010,NVDA,3.4
29/11/2010,NVDA,3.4375
30/11/2010,NVDA,3.4025
01/12/2010,NVDA,3.5525
02/12/2010,NVDA,3.595
03/12/2010,NVDA,3.6975
06/12/2010,NVDA,3.6275
07/12/2010,NVDA,3.745
08/12/2010,NVDA,3.7775
09/12/2010,NVDA,3.715
10/12/2010,NVDA,3.7375
13/12/2010,NVDA,3.6425
14/12/2010,NVDA,3.6475
15/12/2010,NVDA,3.5675
16/12/2010,NVDA,3.5725
17/12/2010,NVDA,3.5925
20/12/2010,NVDA,3.5775
21/12/2010,NVDA,3.7175
22/12/2010,NVDA,3.7575
23/12/2010,NVDA,3.73
27/12/2010,NVDA,3.75
28/12/2010,NVDA,3.735
29/12/2010,NVDA,3.735
30/12/2010,NVDA,3.7475
31/12/2010,NVDA,3.85
03/01/2011,NVDA,3.955
04/01/2011,NVDA,3.9425
05/01/2011,NVDA,4.245
06/01/2011,NVDA,4.8325
07/01/2011,NVDA,4.9675
10/01/2011,NVDA,5.1575
11/01/2011,NVDA,5.0775
12/01/2011,NVDA,5.8375
13/01/2011,NVDA,5.8475
14/01/2011,NVDA,5.8975
18/01/2011,NVDA,5.76
19/01/2011,NVDA,5.6025
20/01/2011,NVDA,5.6075
21/01/2011,NVDA,5.555
24/01/2011,NVDA,6.1825
25/01/2011,NVDA,5.9925
26/01/2011,NVDA,6.135
27/01/2011,NVDA,6.1175
28/01/2011,NVDA,5.94
31/01/2011,NVDA,5.98
01/02/2011,NVDA,6.1175
02/02/2011,NVDA,6.395
03/02/2011,NVDA,6.275
04/02/2011,NVDA,6.4175
07/02/2011,NVDA,6.15
08/02/2011,NVDA,5.9675
09/02/2011,NVDA,5.8225
10/02/2011,NVDA,5.705
11/02/2011,NVDA,5.8675
14/02/2011,NVDA,5.7775
15/02/2011,NVDA,5.6375
16/02/2011,NVDA,5.845
17/02/2011,NVDA,6.42
18/02/2011,NVDA,6.4075
22/02/2011,NVDA,5.8025
23/02/2011,NVDA,5.5275
24/02/2011,NVDA,5.6625
25/02/2011,NVDA,5.78
28/02/2011,NVDA,5.665
01/03/2011,NVDA,5.4125
02/03/2011,NVDA,5.1875
03/03/2011,NVDA,5.2175
04/03/2011,NVDA,5.19
07/03/2011,NVDA,5.1175
08/03/2011,NVDA,4.8875
09/03/2011,NVDA,4.785
10/03/2011,NVDA,4.48
11/03/2011,NVDA,4.5125
14/03/2011,NVDA,4.55
15/03/2011,NVDA,4.415
16/03/2011,NVDA,4.3825
17/03/2011,NVDA,4.465
18/03/2011,NVDA,4.405
21/03/2011,NVDA,4.44
22/03/2011,NVDA,4.3625
23/03/2011,NVDA,4.4525
24/03/2011,NVDA,4.8075
25/03/2011,NVDA,4.6575
28/03/2011,NVDA,4.83
29/03/2011,NVDA,4.7925
30/03/2011,NVDA,4.6125
31/03/2011,NVDA,4.615
01/04/2011,NVDA,4.55
04/04/2011,NVDA,4.3875
05/04/2011,NVDA,4.395
06/04/2011,NVDA,4.365
07/04/2011,NVDA,4.525
08/04/2011,NVDA,4.3875
11/04/2011,NVDA,4.33
12/04/2011,NVDA,4.3425
13/04/2011,NVDA,4.44
14/04/2011,NVDA,4.6275
15/04/2011,NVDA,4.6775
18/04/2011,NVDA,4.5225
19/04/2011,NVDA,4.505
20/04/2011,NVDA,4.6425
21/04/2011,NVDA,4.63
25/04/2011,NVDA,4.7025
26/04/2011,NVDA,4.825
27/04/2011,NVDA,4.825
28/04/2011,NVDA,4.8775
29/04/2011,NVDA,5
02/05/2011,NVDA,4.9325
03/05/2011,NVDA,4.6975
04/05/2011,NVDA,4.6625
05/05/2011,NVDA,4.665
06/05/2011,NVDA,4.83
09/05/2011,NVDA,4.9375
10/05/2011,NVDA,4.945
11/05/2011,NVDA,4.9675
12/05/2011,NVDA,5.125
13/05/2011,NVDA,4.565
16/05/2011,NVDA,4.425
17/05/2011,NVDA,4.4075
18/05/2011,NVDA,4.51
19/05/2011,NVDA,4.445
20/05/2011,NVDA,4.5225
23/05/2011,NVDA,4.5175
24/05/2011,NVDA,4.535
25/05/2011,NVDA,4.59
26/05/2011,NVDA,4.705
27/05/2011,NVDA,4.875
31/05/2011,NVDA,5.01
01/06/2011,NVDA,4.785
02/06/2011,NVDA,4.7625
03/06/2011,NVDA,4.615
06/06/2011,NVDA,4.5175
07/06/2011,NVDA,4.515
08/06/2011,NVDA,4.3925
09/06/2011,NVDA,4.3425
10/06/2011,NVDA,4.28
13/06/2011,NVDA,4.25
14/06/2011,NVDA,4.285
15/06/2011,NVDA,4.1925
16/06/2011,NVDA,4.0475
17/06/2011,NVDA,3.9525
20/06/2011,NVDA,3.905
21/06/2011,NVDA,3.99
22/06/2011,NVDA,3.935
23/06/2011,NVDA,4.0525
24/06/2011,NVDA,3.935
27/06/2011,NVDA,3.8525
28/06/2011,NVDA,3.875
29/06/2011,NVDA,3.935
30/06/2011,NVDA,3.985
01/07/2011,NVDA,4.0375
05/07/2011,NVDA,3.97
06/07/2011,NVDA,3.9175
07/07/2011,NVDA,3.9325
08/07/2011,NVDA,3.8575
11/07/2011,NVDA,3.7225
12/07/2011,NVDA,3.6725
13/07/2011,NVDA,3.665
14/07/2011,NVDA,3.52
15/07/2011,NVDA,3.525
18/07/2011,NVDA,3.45
19/07/2011,NVDA,3.555
20/07/2011,NVDA,3.51
21/07/2011,NVDA,3.675
22/07/2011,NVDA,3.75
25/07/2011,NVDA,3.69
26/07/2011,NVDA,3.6
27/07/2011,NVDA,3.465
28/07/2011,NVDA,3.4575
29/07/2011,NVDA,3.4575
01/08/2011,NVDA,3.6425
02/08/2011,NVDA,3.605
03/08/2011,NVDA,3.7025
04/08/2011,NVDA,3.35
05/08/2011,NVDA,3.2375
08/08/2011,NVDA,2.9825
09/08/2011,NVDA,3.2325
10/08/2011,NVDA,3.085
11/08/2011,NVDA,3.3525
12/08/2011,NVDA,3.22
15/08/2011,NVDA,3.3425
16/08/2011,NVDA,3.2475
17/08/2011,NVDA,3.2025
18/08/2011,NVDA,2.985
19/08/2011,NVDA,2.9325
22/08/2011,NVDA,2.985
23/08/2011,NVDA,3.3075
24/08/2011,NVDA,3.26
25/08/2011,NVDA,3.12
26/08/2011,NVDA,3.2525
29/08/2011,NVDA,3.34
30/08/2011,NVDA,3.42
31/08/2011,NVDA,3.3275
01/09/2011,NVDA,3.32
02/09/2011,NVDA,3.23
06/09/2011,NVDA,3.295
07/09/2011,NVDA,3.5625
08/09/2011,NVDA,3.545
