Date,ticker,price
01/10/2010,PALAF,3.205013
04/10/2010,PALAF,3.061773
05/10/2010,PALAF,3.115488
06/10/2010,PALAF,3.222919
07/10/2010,PALAF,3.187108
08/10/2010,PALAF,3.240824
11/10/2010,PALAF,3.312444
12/10/2010,PALAF,3.240824
13/10/2010,PALAF,3.482543
14/10/2010,PALAF,3.527305
15/10/2010,PALAF,3.581021
18/10/2010,PALAF,3.554163
19/10/2010,PALAF,3.312444
20/10/2010,PALAF,3.482543
21/10/2010,PALAF,3.5094
22/10/2010,PALAF,3.760072
25/10/2010,PALAF,3.849597
26/10/2010,PALAF,3.849597
27/10/2010,PALAF,3.670546
28/10/2010,PALAF,3.688451
29/10/2010,PALAF,3.652641
01/11/2010,PALAF,3.661594
02/11/2010,PALAF,3.760072
03/11/2010,PALAF,3.903312
04/11/2010,PALAF,4.028648
05/11/2010,PALAF,4.198747
08/11/2010,PALAF,4.333035
09/11/2010,PALAF,4.252462
10/11/2010,PALAF,4.270367
11/11/2010,PALAF,4.42256
12/11/2010,PALAF,4.243509
15/11/2010,PALAF,4.180842
16/11/2010,PALAF,3.885407
17/11/2010,PALAF,3.921218
18/11/2010,PALAF,4.082363
19/11/2010,PALAF,4.136079
22/11/2010,PALAF,4.127126
23/11/2010,PALAF,4.028648
24/11/2010,PALAF,4.243509
26/11/2010,PALAF,4.324082
29/11/2010,PALAF,4.243509
30/11/2010,PALAF,4.234557
01/12/2010,PALAF,4.333035
02/12/2010,PALAF,4.341987
03/12/2010,PALAF,4.377798
06/12/2010,PALAF,4.368845
07/12/2010,PALAF,4.42256
08/12/2010,PALAF,4.324082
09/12/2010,PALAF,4.440466
10/12/2010,PALAF,4.503133
13/12/2010,PALAF,4.476276
14/12/2010,PALAF,4.431513
15/12/2010,PALAF,4.413608
16/12/2010,PALAF,4.42256
17/12/2010,PALAF,4.359893
20/12/2010,PALAF,4.413608
21/12/2010,PALAF,4.494181
22/12/2010,PALAF,4.458371
23/12/2010,PALAF,4.467323
27/12/2010,PALAF,4.35094
28/12/2010,PALAF,4.395703
29/12/2010,PALAF,4.485228
30/12/2010,PALAF,4.485228
31/12/2010,PALAF,4.521038
03/01/2011,PALAF,4.619517
04/01/2011,PALAF,4.467323
05/01/2011,PALAF,4.467323
06/01/2011,PALAF,4.467323
07/01/2011,PALAF,4.485228
10/01/2011,PALAF,4.449418
11/01/2011,PALAF,4.538944
12/01/2011,PALAF,4.825425
13/01/2011,PALAF,4.77171
14/01/2011,PALAF,4.834378
18/01/2011,PALAF,4.888093
19/01/2011,PALAF,4.923903
20/01/2011,PALAF,4.753805
21/01/2011,PALAF,4.494181
24/01/2011,PALAF,4.413608
25/01/2011,PALAF,4.440466
26/01/2011,PALAF,4.485228
27/01/2011,PALAF,4.395703
28/01/2011,PALAF,4.377798
31/01/2011,PALAF,4.512086
01/02/2011,PALAF,4.897046
02/02/2011,PALAF,4.968666
03/02/2011,PALAF,4.852283
04/02/2011,PALAF,4.726947
07/02/2011,PALAF,4.709042
08/02/2011,PALAF,4.753805
09/02/2011,PALAF,4.825425
10/02/2011,PALAF,4.879141
11/02/2011,PALAF,4.798568
14/02/2011,PALAF,4.861235
15/02/2011,PALAF,4.744852
16/02/2011,PALAF,4.691137
17/02/2011,PALAF,4.583706
18/02/2011,PALAF,4.512086
22/02/2011,PALAF,4.27932
23/02/2011,PALAF,4.395703
24/02/2011,PALAF,4.529991
25/02/2011,PALAF,4.592659
28/02/2011,PALAF,4.556849
01/03/2011,PALAF,4.467323
02/03/2011,PALAF,4.449418
03/03/2011,PALAF,4.512086
04/03/2011,PALAF,4.485228
07/03/2011,PALAF,4.42256
08/03/2011,PALAF,4.521038
09/03/2011,PALAF,4.485228
10/03/2011,PALAF,4.216652
11/03/2011,PALAF,4.306177
14/03/2011,PALAF,3.393017
15/03/2011,PALAF,3.08863
16/03/2011,PALAF,2.909579
17/03/2011,PALAF,3.008057
18/03/2011,PALAF,3.267681
21/03/2011,PALAF,3.428827
22/03/2011,PALAF,3.222919
23/03/2011,PALAF,3.384064
24/03/2011,PALAF,3.357207
25/03/2011,PALAF,3.446732
28/03/2011,PALAF,3.366159
29/03/2011,PALAF,3.267681
30/03/2011,PALAF,3.357207
31/03/2011,PALAF,3.321397
01/04/2011,PALAF,3.40197
04/04/2011,PALAF,3.518353
05/04/2011,PALAF,3.589973
06/04/2011,PALAF,3.536258
07/04/2011,PALAF,3.419875
08/04/2011,PALAF,3.518353
11/04/2011,PALAF,3.43778
12/04/2011,PALAF,3.249776
13/04/2011,PALAF,3.339302
14/04/2011,PALAF,3.419875
15/04/2011,PALAF,3.464637
18/04/2011,PALAF,3.554163
19/04/2011,PALAF,3.455685
20/04/2011,PALAF,3.491495
21/04/2011,PALAF,3.47359
25/04/2011,PALAF,3.43778
26/04/2011,PALAF,3.47359
27/04/2011,PALAF,3.419875
28/04/2011,PALAF,3.205013
29/04/2011,PALAF,3.205013
02/05/2011,PALAF,3.151298
03/05/2011,PALAF,3.169203
04/05/2011,PALAF,3.178156
05/05/2011,PALAF,3.133393
06/05/2011,PALAF,3.151298
09/05/2011,PALAF,3.294539
10/05/2011,PALAF,3.321397
11/05/2011,PALAF,3.222919
12/05/2011,PALAF,3.160251
13/05/2011,PALAF,3.034915
16/05/2011,PALAF,2.873769
17/05/2011,PALAF,2.945389
18/05/2011,PALAF,3.043868
19/05/2011,PALAF,3.034915
20/05/2011,PALAF,3.01701
23/05/2011,PALAF,2.900627
24/05/2011,PALAF,2.972247
25/05/2011,PALAF,2.963295
26/05/2011,PALAF,3.070725
27/05/2011,PALAF,3.097583
31/05/2011,PALAF,2.9812
01/06/2011,PALAF,2.963295
02/06/2011,PALAF,2.9812
03/06/2011,PALAF,2.846911
06/06/2011,PALAF,2.784244
07/06/2011,PALAF,2.820054
08/06/2011,PALAF,2.623098
09/06/2011,PALAF,2.587287
10/06/2011,PALAF,2.52462
13/06/2011,PALAF,2.551477
14/06/2011,PALAF,2.479857
15/06/2011,PALAF,2.318711
16/06/2011,PALAF,2.184423
17/06/2011,PALAF,2.256043
20/06/2011,PALAF,2.21128
21/06/2011,PALAF,2.238138
22/06/2011,PALAF,2.345568
23/06/2011,PALAF,2.461952
24/06/2011,PALAF,2.345568
27/06/2011,PALAF,2.24709
28/06/2011,PALAF,2.264996
29/06/2011,PALAF,2.336616
30/06/2011,PALAF,2.444047
01/07/2011,PALAF,2.497762
05/07/2011,PALAF,2.497762
06/07/2011,PALAF,2.542525
07/07/2011,PALAF,2.56043
08/07/2011,PALAF,2.52462
11/07/2011,PALAF,2.399284
12/07/2011,PALAF,2.327663
13/07/2011,PALAF,2.452999
14/07/2011,PALAF,2.381379
15/07/2011,PALAF,2.390331
18/07/2011,PALAF,2.229185
19/07/2011,PALAF,2.309758
20/07/2011,PALAF,2.282901
21/07/2011,PALAF,2.470904
22/07/2011,PALAF,2.63205
25/07/2011,PALAF,2.59624
26/07/2011,PALAF,2.587287
27/07/2011,PALAF,2.614145
28/07/2011,PALAF,2.506714
29/07/2011,PALAF,2.533572
01/08/2011,PALAF,2.676813
02/08/2011,PALAF,2.497762
03/08/2011,PALAF,2.435094
04/08/2011,PALAF,2.157565
05/08/2011,PALAF,2.005372
08/08/2011,PALAF,1.871083
09/08/2011,PALAF,2.014324
10/08/2011,PALAF,1.933751
11/08/2011,PALAF,2.085944
12/08/2011,PALAF,2.068039
15/08/2011,PALAF,2.10385
16/08/2011,PALAF,2.059087
17/08/2011,PALAF,2.023277
18/08/2011,PALAF,1.826321
19/08/2011,PALAF,1.79051
22/08/2011,PALAF,1.817368
23/08/2011,PALAF,1.960609
24/08/2011,PALAF,1.906893
25/08/2011,PALAF,1.871083
26/08/2011,PALAF,1.942704
29/08/2011,PALAF,2.059087
30/08/2011,PALAF,2.059087
31/08/2011,PALAF,1.969561
01/09/2011,PALAF,1.915846
02/09/2011,PALAF,1.808415
06/09/2011,PALAF,1.772605
07/09/2011,PALAF,1.79051
08/09/2011,PALAF,1.745748
09/09/2011,PALAF,1.674127
12/09/2011,PALAF,1.539839
13/09/2011,PALAF,1.584602
14/09/2011,PALAF,1.495076
15/09/2011,PALAF,1.468218
16/09/2011,PALAF,1.512981
19/09/2011,PALAF,1.396598
20/09/2011,PALAF,1.36974
21/09/2011,PALAF,1.36974
22/09/2011,PALAF,1.2265
23/09/2011,PALAF,1.235452
26/09/2011,PALAF,1.136974
27/09/2011,PALAF,1.181737
28/09/2011,PALAF,1.002686
29/09/2011,PALAF,0.984781
30/09/2011,PALAF,1.002686
03/10/2011,PALAF,0.984781
04/10/2011,PALAF,0.975828
05/10/2011,PALAF,1.056401
06/10/2011,PALAF,1.199642
07/10/2011,PALAF,1.342883
10/10/2011,PALAF,1.611459
11/10/2011,PALAF,1.495076
12/10/2011,PALAF,1.602507
13/10/2011,PALAF,1.512981
14/10/2011,PALAF,1.521934
17/10/2011,PALAF,1.450313
18/10/2011,PALAF,1.495076
19/10/2011,PALAF,1.396598
20/10/2011,PALAF,1.477171
21/10/2011,PALAF,1.495076
24/10/2011,PALAF,1.557744
25/10/2011,PALAF,1.405551
26/10/2011,PALAF,1.36974
27/10/2011,PALAF,1.521934
28/10/2011,PALAF,1.512981
31/10/2011,PALAF,1.405551
01/11/2011,PALAF,1.280215
02/11/2011,PALAF,1.316025
03/11/2011,PALAF,1.307073
04/11/2011,PALAF,1.316025
07/11/2011,PALAF,1.307073
08/11/2011,PALAF,1.351835
09/11/2011,PALAF,1.280215
10/11/2011,PALAF,1.307073
11/11/2011,PALAF,1.360788
14/11/2011,PALAF,1.459266
15/11/2011,PALAF,1.512981
16/11/2011,PALAF,1.405551
17/11/2011,PALAF,1.378693
18/11/2011,PALAF,1.36974
21/11/2011,PALAF,1.289167
22/11/2011,PALAF,1.26231
23/11/2011,PALAF,1.217547
25/11/2011,PALAF,1.244405
28/11/2011,PALAF,1.29812
29/11/2011,PALAF,1.351835
30/11/2011,PALAF,1.486124
01/12/2011,PALAF,1.530886
02/12/2011,PALAF,1.504029
05/12/2011,PALAF,1.566697
06/12/2011,PALAF,1.539839
07/12/2011,PALAF,1.557744
08/12/2011,PALAF,1.477171
09/12/2011,PALAF,1.486124
12/12/2011,PALAF,1.441361
13/12/2011,PALAF,1.396598
14/12/2011,PALAF,1.351835
15/12/2011,PALAF,1.378693
16/12/2011,PALAF,1.342883
19/12/2011,PALAF,1.235452
20/12/2011,PALAF,1.316025
21/12/2011,PALAF,1.271262
22/12/2011,PALAF,1.26231
23/12/2011,PALAF,1.244405
27/12/2011,PALAF,1.2265
28/12/2011,PALAF,1.235452
29/12/2011,PALAF,1.235452
30/12/2011,PALAF,1.235452
03/01/2012,PALAF,1.271262
04/01/2012,PALAF,1.289167
05/01/2012,PALAF,1.29812
06/01/2012,PALAF,1.253357
09/01/2012,PALAF,1.235452
10/01/2012,PALAF,1.289167
11/01/2012,PALAF,1.324978
12/01/2012,PALAF,1.396598
13/01/2012,PALAF,1.351835
17/01/2012,PALAF,1.557744
18/01/2012,PALAF,1.745748
19/01/2012,PALAF,1.709937
20/01/2012,PALAF,1.692032
23/01/2012,PALAF,1.7547
24/01/2012,PALAF,1.71889
25/01/2012,PALAF,1.692032
26/01/2012,PALAF,1.656222
