date,ticker,price
2010-10-01,CX,6.931.058
2010-11-01,CX,7.144.443
2010-12-01,CX,8.464.269
2011-01-01,CX,7.484.279
2011-02-01,CX,7.104.928
2011-03-01,CX,7.057.509
2011-04-01,CX,685.993
2011-05-01,CX,6.804.608
2011-06-01,CX,6.796.705
2011-07-01,CX,5.563.814
2011-08-01,CX,4.243.989
2011-09-01,CX,2.497.394
2011-10-01,CX,3.453.674
2011-11-01,CX,3.682.866
2011-12-01,CX,4.259.795
2012-01-01,CX,5.382.042
2012-02-01,CX,6.069.616
2012-03-01,CX,6.378.154
2012-04-01,CX,5.942.533
2012-05-01,CX,4.553.476
2012-06-01,CX,5.531.569
2012-07-01,CX,5.720.613
2012-08-01,CX,6.139.795
2012-09-01,CX,6.846.653
2012-10-01,CX,7.430.221
2012-11-01,CX,7.315.151
2012-12-01,CX,8.112.421
2013-01-01,CX,8.917.909
2013-02-01,CX,8.827.497
2013-03-01,CX,1.003.573
2013-04-01,CX,9.616.547
2013-05-01,CX,9.830.248
2013-06-01,CX,9.043.828
2013-07-01,CX,9.838.796
2013-08-01,CX,9.607.999
2013-09-01,CX,9.556.711
2013-10-01,CX,9.043.828
2013-11-01,CX,934.301
2013-12-01,CX,10.112.334
2014-01-01,CX,10.573.928
2014-02-01,CX,11.180.839
2014-03-01,CX,10.796.177
2014-04-01,CX,11.236.914
2014-05-01,CX,11.441.383
2014-06-01,CX,11.761.422
2014-07-01,CX,11.165.794
2014-08-01,CX,11.761.422
2014-09-01,CX,11.592.513
2014-10-01,CX,10.934.655
2014-11-01,CX,11.121.344
2014-12-01,CX,9.058.873
2015-01-01,CX,7.903.178
2015-02-01,CX,9.023.313
2015-03-01,CX,8.418.796
2015-04-01,CX,8.894.231
2015-05-01,CX,8.598.373
2015-06-01,CX,8.468.935
2015-07-01,CX,7.858.728
2015-08-01,CX,7.267.012
2015-09-01,CX,6.462.648
2015-10-01,CX,583.395
2015-11-01,CX,5.824.704
2015-12-01,CX,5.149.778
2016-01-01,CX,418.824
2016-02-01,CX,5.122.041
2016-03-01,CX,6.730.769
2016-04-01,CX,7.163.462
2016-05-01,CX,6.115.385
2016-06-01,CX,5.932.692
2016-07-01,CX,7.355.769
2016-08-01,CX,7.971.154
2016-09-01,CX,7.634.615
2016-10-01,CX,8.346.154
2016-11-01,CX,7.509.615
2016-12-01,CX,7.721.154
2017-01-01,CX,8.903.846
2017-02-01,CX,8.134.615
2017-03-01,CX,8.721.154
2017-04-01,CX,8.865.385
2017-05-01,CX,8.27
2017-06-01,CX,9.42
2017-07-01,CX,9.71
2017-08-01,CX,9.31
2017-09-01,CX,09.08
2017-10-01,CX,8.11
2017-11-01,CX,7.59
2017-12-01,CX,7.5
2018-01-01,CX,8.29
2018-02-01,CX,6.55
2018-03-01,CX,6.62
2018-04-01,CX,6.21
2018-05-01,CX,5.96
2018-06-01,CX,6.56
2018-07-01,CX,7.45
2018-08-01,CX,07.09
2018-09-01,CX,07.04
2018-10-01,CX,05.04
2018-11-01,CX,5.14
2018-12-01,CX,4.82
2019-01-01,CX,5.44
2019-02-01,CX,4.85
2019-03-01,CX,4.64
2019-04-01,CX,4.6
2019-05-01,CX,4.12
2019-06-01,CX,4.24
2019-07-01,CX,3.56
2019-08-01,CX,3.75
2019-09-01,CX,3.92
2019-10-01,CX,3.77
2019-11-01,CX,3.73
2019-12-01,CX,3.78
2020-01-01,CX,04.04
2020-02-01,CX,3.28
2020-03-01,CX,2.12
2020-04-01,CX,2.12
2020-05-01,CX,2.4
2020-06-01,CX,2.88
2020-07-01,CX,03.06
2020-08-01,CX,3.21
2020-09-01,CX,3.8
2020-10-01,CX,4.15
2020-11-01,CX,4.6
2020-12-01,CX,5.17
2021-01-01,CX,5.73
2021-02-01,CX,6.61
2021-03-01,CX,6.97
2021-04-01,CX,7.89
2021-05-01,CX,8.28
2021-06-01,CX,8.4
2021-07-01,CX,8.13
2021-08-01,CX,8.2
2021-09-01,CX,7.17
