Date,ticker,price
01/09/2004,CX,10.692044
01/10/2004,CX,11.011209
01/11/2004,CX,12.238476
01/12/2004,CX,13.838103
01/01/2005,CX,14.24086
01/02/2005,CX,15.186957
01/03/2005,CX,13.77351
01/04/2005,CX,13.678521
01/05/2005,CX,14.51443
01/06/2005,CX,16.117857
01/07/2005,CX,17.918861
01/08/2005,CX,18.11264
01/09/2005,CX,19.871851
01/10/2005,CX,19.78446
01/11/2005,CX,21.391685
01/12/2005,CX,22.542961
01/01/2006,CX,25.069689
01/02/2006,CX,23.466263
01/03/2006,CX,24.803717
01/04/2006,CX,25.654825
01/05/2006,CX,21.646259
01/06/2006,CX,21.646259
01/07/2006,CX,21.520872
01/08/2006,CX,21.954025
01/09/2006,CX,22.858328
01/10/2006,CX,23.359875
01/11/2006,CX,24.727726
01/12/2006,CX,25.746016
01/01/2007,CX,26.885893
01/02/2007,CX,25.844805
01/03/2007,CX,24.887308
01/04/2007,CX,24.697329
01/05/2007,CX,29.545605
01/06/2007,CX,28.040968
01/07/2007,CX,24.575743
01/08/2007,CX,24.537746
01/09/2007,CX,22.73674
01/10/2007,CX,23.306679
01/11/2007,CX,21.741249
01/12/2007,CX,19.643875
01/01/2008,CX,20.548178
01/02/2008,CX,20.935736
01/03/2008,CX,19.849052
01/04/2008,CX,21.011728
01/05/2008,CX,21.612062
01/06/2008,CX,18.76997
01/07/2008,CX,16.155853
01/08/2008,CX,15.236352
01/09/2008,CX,13.085785
01/10/2008,CX,5.744979
01/11/2008,CX,5.281429
01/12/2008,CX,6.945649
01/01/2009,CX,5.91976
01/02/2009,CX,4.095957
01/03/2009,CX,4.749486
01/04/2009,CX,5.684185
01/05/2009,CX,7.71347
01/06/2009,CX,7.381538
01/07/2009,CX,7.421053
01/08/2009,CX,10.495377
01/09/2009,CX,10.210864
01/10/2009,CX,8.203465
01/11/2009,CX,8.922651
01/12/2009,CX,9.341518
01/01/2010,CX,7.26299
01/02/2010,CX,7.555407
01/03/2010,CX,8.069111
01/04/2010,CX,9.388937
01/05/2010,CX,8.559106
01/06/2010,CX,7.642341
01/07/2010,CX,7.460569
01/08/2010,CX,6.124938
01/09/2010,CX,6.717673
01/10/2010,CX,6.931058
01/11/2010,CX,7.144443
01/12/2010,CX,8.464269
01/01/2011,CX,7.484279
01/02/2011,CX,7.104928
01/03/2011,CX,7.057509
01/04/2011,CX,6.85993
01/05/2011,CX,6.804608
01/06/2011,CX,6.796705
01/07/2011,CX,5.563814
01/08/2011,CX,4.243989
01/09/2011,CX,2.497394
01/10/2011,CX,3.453674
01/11/2011,CX,3.682866
01/12/2011,CX,4.259795
01/01/2012,CX,5.382042
01/02/2012,CX,6.069616
01/03/2012,CX,6.378154
01/04/2012,CX,5.942533
01/05/2012,CX,4.553476
01/06/2012,CX,5.531569
01/07/2012,CX,5.720613
01/08/2012,CX,6.139795
01/09/2012,CX,6.846653
