date,ticker,price
2010-10-01,NEE,13.76
2010-11-01,NEE,12.655
2010-12-01,NEE,12.9975
2011-01-01,NEE,13.365
2011-02-01,NEE,138.675
2011-03-01,NEE,13.78
2011-04-01,NEE,141.425
2011-05-01,NEE,144.875
2011-06-01,NEE,14.365
2011-07-01,NEE,138.125
2011-08-01,NEE,14.18
2011-09-01,NEE,13.505
2011-10-01,NEE,14.1
2011-11-01,NEE,13.86
2011-12-01,NEE,15.22
2012-01-01,NEE,149.625
2012-02-01,NEE,148.775
2012-03-01,NEE,15.27
2012-04-01,NEE,160.875
2012-05-01,NEE,16.334.999
2012-06-01,NEE,17.202.499
2012-07-01,NEE,17.725
2012-08-01,NEE,16.827.499
2012-09-01,NEE,175.825
2012-10-01,NEE,17.514.999
2012-11-01,NEE,171.775
2012-12-01,NEE,17.297.501
2013-01-01,NEE,18.012.501
2013-02-01,NEE,17.967.501
2013-03-01,NEE,19.42
2013-04-01,NEE,205.075
2013-05-01,NEE,18.905.001
2013-06-01,NEE,20.370.001
2013-07-01,NEE,216.525
2013-08-01,NEE,20.09
2013-09-01,NEE,20.040.001
2013-10-01,NEE,211.875
2013-11-01,NEE,21.147.499
2013-12-01,NEE,21.405.001
2014-01-01,NEE,229.825
2014-02-01,NEE,228.475
2014-03-01,NEE,23.905.001
2014-04-01,NEE,249.625
2014-05-01,NEE,24.34
2014-06-01,NEE,25.620.001
2014-07-01,NEE,234.725
2014-08-01,NEE,24.612.499
2014-09-01,NEE,23.469.999
2014-10-01,NEE,25.055
2014-11-01,NEE,260.975
2014-12-01,NEE,265.725
2015-01-01,NEE,27.309.999
2015-02-01,NEE,25.865
2015-03-01,NEE,26.012.501
2015-04-01,NEE,252.325
2015-05-01,NEE,25.584.999
2015-06-01,NEE,245.075
2015-07-01,NEE,26.299.999
2015-08-01,NEE,24.602.501
2015-09-01,NEE,24.387.501
2015-10-01,NEE,25.665.001
2015-11-01,NEE,24.965
2015-12-01,NEE,259.725
2016-01-01,NEE,279.275
2016-02-01,NEE,28.205
2016-03-01,NEE,29.584.999
2016-04-01,NEE,29.395
2016-05-01,NEE,30.030.001
2016-06-01,NEE,32.599.998
2016-07-01,NEE,32.072.498
2016-08-01,NEE,30.235.001
2016-09-01,NEE,30.58
2016-10-01,NEE,32
2016-11-01,NEE,28.557.501
2016-12-01,NEE,29.865
2017-01-01,NEE,30.93
2017-02-01,NEE,32.75
2017-03-01,NEE,32.092.499
2017-04-01,NEE,33.389.999
2017-05-01,NEE,35.360.001
2017-06-01,NEE,35.032.501
2017-07-01,NEE,36.522.499
2017-08-01,NEE,37.627.499
2017-09-01,NEE,36.637.501
2017-10-01,NEE,38.767.502
2017-11-01,NEE,39.509.998
2017-12-01,NEE,39.047.501
2018-01-01,NEE,39.605
2018-02-01,NEE,38.037.498
2018-03-01,NEE,408.325
2018-04-01,NEE,40.977.501
2018-05-01,NEE,41.452.499
2018-06-01,NEE,417.575
2018-07-01,NEE,41.884.998
2018-08-01,NEE,42.525.002
2018-09-01,NEE,41.900.002
2018-10-01,NEE,43.125
2018-11-01,NEE,45.427.502
2018-12-01,NEE,43.455.002
2019-01-01,NEE,44.744.999
2019-02-01,NEE,46.93
2019-03-01,NEE,48.330.002
2019-04-01,NEE,48.610.001
2019-05-01,NEE,49.552.502
2019-06-01,NEE,51.215
2019-07-01,NEE,517.925
2019-08-01,NEE,54.77
2019-09-01,NEE,58.247.501
2019-10-01,NEE,59.584.999
2019-11-01,NEE,58.455.002
2019-12-01,NEE,60.540.001
2020-01-01,NEE,67.050.003
2020-02-01,NEE,63.189.999
2020-03-01,NEE,60.154.999
2020-04-01,NEE,57.779.999
2020-05-01,NEE,63.889.999
2020-06-01,NEE,600.425
2020-07-01,NEE,70.175.003
2020-08-01,NEE,69.792.503
2020-09-01,NEE,69.389.999
2020-10-01,NEE,73.209.999
2020-11-01,NEE,73.589.996
2020-12-01,NEE,77.150.002
2021-01-01,NEE,80.870.003
2021-02-01,NEE,73.480.003
2021-03-01,NEE,75.610.001
2021-04-01,NEE,77.510.002
2021-05-01,NEE,73.220.001
2021-06-01,NEE,73.279.999
2021-07-01,NEE,77.900.002
2021-08-01,NEE,83.989.998
2021-09-01,NEE,78.519.997
