date,ticker,price
2010-10-01,NSRGY,54.849.998
2010-11-01,NSRGY,54.73
2010-12-01,NSRGY,58.82
2011-01-01,NSRGY,54.220.001
2011-02-01,NSRGY,56.619.999
2011-03-01,NSRGY,57.48
2011-04-01,NSRGY,62.200.001
2011-05-01,NSRGY,64.330.002
2011-06-01,NSRGY,62.380.001
2011-07-01,NSRGY,63.75
2011-08-01,NSRGY,62.080.002
2011-09-01,NSRGY,55.099.998
2011-10-01,NSRGY,57.759.998
2011-11-01,NSRGY,56.130.001
2011-12-01,NSRGY,57.709.999
2012-01-01,NSRGY,57.529.999
2012-02-01,NSRGY,61.290.001
2012-03-01,NSRGY,63
2012-04-01,NSRGY,61.139.999
2012-05-01,NSRGY,56.849.998
2012-06-01,NSRGY,59.740.002
2012-07-01,NSRGY,61.630.001
2012-08-01,NSRGY,62.310.001
2012-09-01,NSRGY,63.209.999
2012-10-01,NSRGY,63.34
2012-11-01,NSRGY,65.5
2012-12-01,NSRGY,65.169.998
2013-01-01,NSRGY,70.32
2013-02-01,NSRGY,69.970.001
2013-03-01,NSRGY,72.470.001
2013-04-01,NSRGY,71.230.003
2013-05-01,NSRGY,66.32
2013-06-01,NSRGY,65.779.999
2013-07-01,NSRGY,67.970.001
2013-08-01,NSRGY,65.449.997
2013-09-01,NSRGY,69.599.998
2013-10-01,NSRGY,72.410.004
2013-11-01,NSRGY,73.110.001
2013-12-01,NSRGY,73.589.996
2014-01-01,NSRGY,72.650.002
2014-02-01,NSRGY,75.440.002
2014-03-01,NSRGY,75.220.001
2014-04-01,NSRGY,77.18
2014-05-01,NSRGY,78.580.002
2014-06-01,NSRGY,77.669.998
2014-07-01,NSRGY,74.150.002
2014-08-01,NSRGY,77.57
2014-09-01,NSRGY,73.629.997
2014-10-01,NSRGY,73.330.002
2014-11-01,NSRGY,75.050.003
2014-12-01,NSRGY,72.949.997
2015-01-01,NSRGY,76.510.002
2015-02-01,NSRGY,78.150.002
2015-03-01,NSRGY,75.220.001
2015-04-01,NSRGY,77.620.003
2015-05-01,NSRGY,77.440.002
2015-06-01,NSRGY,72.160.004
2015-07-01,NSRGY,75.599.998
2015-08-01,NSRGY,73.650.002
2015-09-01,NSRGY,75.239.998
2015-10-01,NSRGY,76.220.001
2015-11-01,NSRGY,73.940.002
2015-12-01,NSRGY,74.419.998
2016-01-01,NSRGY,73.739.998
2016-02-01,NSRGY,69.860.001
2016-03-01,NSRGY,74.610.001
2016-04-01,NSRGY,74.57
2016-05-01,NSRGY,73.900.002
2016-06-01,NSRGY,77.309.998
2016-07-01,NSRGY,80.230.003
2016-08-01,NSRGY,79.5
2016-09-01,NSRGY,79.019.997
2016-10-01,NSRGY,72.650.002
2016-11-01,NSRGY,67.300.003
2016-12-01,NSRGY,71.739.998
2017-01-01,NSRGY,73.220.001
2017-02-01,NSRGY,73.690.002
2017-03-01,NSRGY,76.900.002
2017-04-01,NSRGY,77
2017-05-01,NSRGY,85.160.004
2017-06-01,NSRGY,87.199.997
2017-07-01,NSRGY,84.290.001
2017-08-01,NSRGY,84.760.002
2017-09-01,NSRGY,84.010.002
2017-10-01,NSRGY,84.230.003
2017-11-01,NSRGY,85.410.004
2017-12-01,NSRGY,85.970.001
2018-01-01,NSRGY,86.400.002
2018-02-01,NSRGY,79.529.999
2018-03-01,NSRGY,79.050.003
2018-04-01,NSRGY,77.360.001
2018-05-01,NSRGY,75.669.998
2018-06-01,NSRGY,77.43
2018-07-01,NSRGY,81.510.002
2018-08-01,NSRGY,83.75
2018-09-01,NSRGY,83.199.997
2018-10-01,NSRGY,84.279.999
2018-11-01,NSRGY,85.220.001
2018-12-01,NSRGY,80.959.999
2019-01-01,NSRGY,87.239.998
2019-02-01,NSRGY,90.330.002
2019-03-01,NSRGY,95.32
2019-04-01,NSRGY,96.529.999
2019-05-01,NSRGY,99.160.004
2019-06-01,NSRGY,103.400.002
2019-07-01,NSRGY,106.080.002
2019-08-01,NSRGY,112.389.999
2019-09-01,NSRGY,108.400.002
2019-10-01,NSRGY,107.160.004
2019-11-01,NSRGY,103.940.002
2019-12-01,NSRGY,108.260.002
2020-01-01,NSRGY,110.260.002
2020-02-01,NSRGY,102.910.004
2020-03-01,NSRGY,102.989.998
2020-04-01,NSRGY,105.099.998
2020-05-01,NSRGY,108.029.999
2020-06-01,NSRGY,110.440.002
2020-07-01,NSRGY,117.849.998
2020-08-01,NSRGY,120.410.004
2020-09-01,NSRGY,119.260.002
2020-10-01,NSRGY,112.269.997
2020-11-01,NSRGY,111.080.002
2020-12-01,NSRGY,117.800.003
2021-01-01,NSRGY,112.300.003
2021-02-01,NSRGY,104.82
2021-03-01,NSRGY,111.510.002
2021-04-01,NSRGY,119.529.999
2021-05-01,NSRGY,123.669.998
2021-06-01,NSRGY,124.739.998
2021-07-01,NSRGY,126.660.004
2021-08-01,NSRGY,126.290.001
2021-09-01,NSRGY,120.209.999
