date,ticker,price
2010-10-01,NVDA,3.005
2010-11-01,NVDA,3.4025
2010-12-01,NVDA,3.85
2011-01-01,NVDA,5.98
2011-02-01,NVDA,5.665
2011-03-01,NVDA,4.615
2011-04-01,NVDA,5
2011-05-01,NVDA,05.01
2011-06-01,NVDA,3.985
2011-07-01,NVDA,3.4575
2011-08-01,NVDA,3.3275
2011-09-01,NVDA,3.1275
2011-10-01,NVDA,3.7
2011-11-01,NVDA,3.9075
2011-12-01,NVDA,3.465
2012-01-01,NVDA,3.6925
2012-02-01,NVDA,3.7875
2012-03-01,NVDA,3.85
2012-04-01,NVDA,3.25
2012-05-01,NVDA,3.1075
2012-06-01,NVDA,3.455
2012-07-01,NVDA,3.385
2012-08-01,NVDA,3.5075
2012-09-01,NVDA,3.335
2012-10-01,NVDA,2.995
2012-11-01,NVDA,2.9925
2012-12-01,NVDA,3.065
2013-01-01,NVDA,3.065
2013-02-01,NVDA,3.165
2013-03-01,NVDA,3.2075
2013-04-01,NVDA,3.4425
2013-05-01,NVDA,3.6175
2013-06-01,NVDA,3.51
2013-07-01,NVDA,3.61
2013-08-01,NVDA,3.6875
2013-09-01,NVDA,3.89
2013-10-01,NVDA,3.7975
2013-11-01,NVDA,3.9
2013-12-01,NVDA,4.005
2014-01-01,NVDA,3.925
2014-02-01,NVDA,4.595
2014-03-01,NVDA,4.4775
2014-04-01,NVDA,4.6175
2014-05-01,NVDA,4.75
2014-06-01,NVDA,4.635
2014-07-01,NVDA,4.375
2014-08-01,NVDA,4.8625
2014-09-01,NVDA,4.6125
2014-10-01,NVDA,4.885
2014-11-01,NVDA,5.2425
2014-12-01,NVDA,5.0125
2015-01-01,NVDA,4.8
2015-02-01,NVDA,5.515
2015-03-01,NVDA,5.2325
2015-04-01,NVDA,5.55
2015-05-01,NVDA,5.5325
2015-06-01,NVDA,5.0275
2015-07-01,NVDA,4.9875
2015-08-01,NVDA,5.62
2015-09-01,NVDA,6.1625
2015-10-01,NVDA,7.0925
2015-11-01,NVDA,7.93
2015-12-01,NVDA,8.24
2016-01-01,NVDA,7.3225
2016-02-01,NVDA,7.84
2016-03-01,NVDA,8.9075
2016-04-01,NVDA,8.8825
2016-05-01,NVDA,11.68
2016-06-01,NVDA,11.7525
2016-07-01,NVDA,14.275
2016-08-01,NVDA,15.335
2016-09-01,NVDA,17.129.999
2016-10-01,NVDA,17.790.001
2016-11-01,NVDA,23.049.999
2016-12-01,NVDA,26.684.999
2017-01-01,NVDA,27.295
2017-02-01,NVDA,25.370.001
2017-03-01,NVDA,272.325
2017-04-01,NVDA,26.075.001
2017-05-01,NVDA,36.087.502
2017-06-01,NVDA,36.139.999
2017-07-01,NVDA,40.627.499
2017-08-01,NVDA,42.360.001
2017-09-01,NVDA,44.692.501
2017-10-01,NVDA,51.702.499
2017-11-01,NVDA,50.177.502
2017-12-01,NVDA,48.375
2018-01-01,NVDA,61.450.001
2018-02-01,NVDA,60.5
2018-03-01,NVDA,57.897.499
2018-04-01,NVDA,56.224.998
2018-05-01,NVDA,63.047.501
2018-06-01,NVDA,59.224.998
2018-07-01,NVDA,61.215
2018-08-01,NVDA,70.169.998
2018-09-01,NVDA,70.254.997
2018-10-01,NVDA,527.075
2018-11-01,NVDA,40.857.498
2018-12-01,NVDA,33.375
2019-01-01,NVDA,359.375
2019-02-01,NVDA,38.564.999
2019-03-01,NVDA,44.889.999
2019-04-01,NVDA,45.25
2019-05-01,NVDA,33.865.002
2019-06-01,NVDA,41.057.499
2019-07-01,NVDA,42.18
2019-08-01,NVDA,41.877.499
2019-09-01,NVDA,43.517.502
2019-10-01,NVDA,50.255.001
2019-11-01,NVDA,54.185.001
2019-12-01,NVDA,58.825.001
2020-01-01,NVDA,59.107.498
2020-02-01,NVDA,67.517.502
2020-03-01,NVDA,65.900.002
2020-04-01,NVDA,73.07
2020-05-01,NVDA,88.754.997
2020-06-01,NVDA,94.977.501
2020-07-01,NVDA,106.147.499
2020-08-01,NVDA,133.744.995
2020-09-01,NVDA,135.304.993
2020-10-01,NVDA,125.339.996
2020-11-01,NVDA,134.014.999
2020-12-01,NVDA,130.550.003
2021-01-01,NVDA,129.897.507
2021-02-01,NVDA,137.145.004
2021-03-01,NVDA,133.482.498
2021-04-01,NVDA,150.095.001
2021-05-01,NVDA,162.445.007
2021-06-01,NVDA,200.024.994
2021-07-01,NVDA,194.990.005
2021-08-01,NVDA,223.850.006
2021-09-01,NVDA,207.160.004
