date,ticker,price
2010-10-01,PALAF,3.652.641
2010-11-01,PALAF,4.234.557
2010-12-01,PALAF,4.521.038
2011-01-01,PALAF,4.512.086
2011-02-01,PALAF,4.556.849
2011-03-01,PALAF,3.321.397
2011-04-01,PALAF,3.205.013
2011-05-01,PALAF,2.9812
2011-06-01,PALAF,2.444.047
2011-07-01,PALAF,2.533.572
2011-08-01,PALAF,1.969.561
2011-09-01,PALAF,1.002.686
2011-10-01,PALAF,1.405.551
2011-11-01,PALAF,1.486.124
2011-12-01,PALAF,1.235.452
2012-01-01,PALAF,1.745.748
2012-02-01,PALAF,1.736.795
2012-03-01,PALAF,171.889
2012-04-01,PALAF,1.468.218
2012-05-01,PALAF,1.128.021
2012-06-01,PALAF,1.128.021
2012-07-01,PALAF,1.101.164
2012-08-01,PALAF,1.2265
2012-09-01,PALAF,1.163.832
2012-10-01,PALAF,1.065.354
2012-11-01,PALAF,80.573
2012-12-01,PALAF,975.828
2013-01-01,PALAF,1.065.354
2013-02-01,PALAF,1.056.401
2013-03-01,PALAF,886.303
2013-04-01,PALAF,707.252
2013-05-01,PALAF,868.397
2013-06-01,PALAF,752.014
2013-07-01,PALAF,814.682
2013-08-01,PALAF,465.533
2013-09-01,PALAF,411.817
2013-10-01,PALAF,358.102
2013-11-01,PALAF,340.197
2013-12-01,PALAF,376.007
2014-01-01,PALAF,402.865
2014-02-01,PALAF,411.817
2014-03-01,PALAF,38.496
2014-04-01,PALAF,358.102
2014-05-01,PALAF,322.292
2014-06-01,PALAF,259.624
2014-07-01,PALAF,313.339
2014-08-01,PALAF,34.915
2014-09-01,PALAF,304.387
2014-10-01,PALAF,250.671
2014-11-01,PALAF,0.3
2014-12-01,PALAF,0.28
2015-01-01,PALAF,0.29
2015-02-01,PALAF,0.32
2015-03-01,PALAF,0.29
2015-04-01,PALAF,0.28
2015-05-01,PALAF,0.25
2015-06-01,PALAF,0.2
2015-07-01,PALAF,0.16
2015-08-01,PALAF,0.14
2015-09-01,PALAF,0.12
2015-10-01,PALAF,0.17
2015-11-01,PALAF,0.16
2015-12-01,PALAF,0.17
2016-01-01,PALAF,0.15
2016-02-01,PALAF,0.14
2016-03-01,PALAF,0.18
2016-04-01,PALAF,0.2
2016-05-01,PALAF,0.16
2016-06-01,PALAF,0.14
2016-07-01,PALAF,0.15
2016-08-01,PALAF,0.13
2016-09-01,PALAF,0.12
2016-10-01,PALAF,0.11
2016-11-01,PALAF,0.07
2016-12-01,PALAF,0.06
2017-01-01,PALAF,0.1
2017-02-01,PALAF,0.09
2017-03-01,PALAF,0.08
2017-04-01,PALAF,0.08
2017-05-01,PALAF,0.04
2017-06-01,PALAF,0.03
2017-07-01,PALAF,0.04
2017-08-01,PALAF,0.02
2017-09-01,PALAF,0.02
2017-10-01,PALAF,0.02
2017-11-01,PALAF,0.03
2017-12-01,PALAF,0.02
2018-01-01,PALAF,0.03
2018-02-01,PALAF,0.25
2018-03-01,PALAF,0.02
2018-04-01,PALAF,0.1
2018-05-01,PALAF,0.25
2018-06-01,PALAF,0.15
2018-07-01,PALAF,0.33
2018-08-01,PALAF,0.15
2018-09-01,PALAF,0.15
2018-10-01,PALAF,0.13
2018-11-01,PALAF,0.14
2018-12-01,PALAF,0.15
2019-01-01,PALAF,0.13
2019-02-01,PALAF,0.13
2019-03-01,PALAF,0.1
2019-04-01,PALAF,0.09
2019-05-01,PALAF,0.09
2019-06-01,PALAF,0.09
2019-07-01,PALAF,0.1
2019-08-01,PALAF,0.11
2019-09-01,PALAF,0.06
2019-10-01,PALAF,0.06
2019-11-01,PALAF,0.06
2019-12-01,PALAF,0.07
2020-01-01,PALAF,0.06
2020-02-01,PALAF,0.05
2020-03-01,PALAF,0.04
2020-04-01,PALAF,0.07
2020-05-01,PALAF,0.08
2020-06-01,PALAF,0.07
2020-07-01,PALAF,0.1
2020-08-01,PALAF,0.13
2020-09-01,PALAF,0.1
2020-10-01,PALAF,0.09
2020-11-01,PALAF,0.12
2020-12-01,PALAF,0.21
2021-01-01,PALAF,0.22
2021-02-01,PALAF,0.33
2021-03-01,PALAF,0.29
2021-04-01,PALAF,0.32
2021-05-01,PALAF,0.41
2021-06-01,PALAF,0.37
2021-07-01,PALAF,0.38
2021-08-01,PALAF,0.38
2021-09-01,PALAF,0.54
