date,ticker,price
2010-10-01,QQQ,52.18
2010-11-01,QQQ,52.09
2010-12-01,QQQ,54.459.999
2011-01-01,QQQ,56
2011-02-01,QQQ,57.77
2011-03-01,QQQ,57.43
2011-04-01,QQQ,59.080.002
2011-05-01,QQQ,58.360.001
2011-06-01,QQQ,57.049.999
2011-07-01,QQQ,58
2011-08-01,QQQ,55.060.001
2011-09-01,QQQ,52.490.002
2011-10-01,QQQ,57.950.001
2011-11-01,QQQ,56.389.999
2011-12-01,QQQ,55.830.002
2012-01-01,QQQ,60.529.999
2012-02-01,QQQ,64.410.004
2012-03-01,QQQ,67.550.003
2012-04-01,QQQ,66.760.002
2012-05-01,QQQ,62.060.001
2012-06-01,QQQ,64.160.004
2012-07-01,QQQ,64.800.003
2012-08-01,QQQ,68.160.004
2012-09-01,QQQ,68.57
2012-10-01,QQQ,64.949.997
2012-11-01,QQQ,65.800.003
2012-12-01,QQQ,65.129.997
2013-01-01,QQQ,66.870.003
2013-02-01,QQQ,67.099.998
2013-03-01,QQQ,68.970.001
2013-04-01,QQQ,70.720.001
2013-05-01,QQQ,73.25
2013-06-01,QQQ,71.269.997
2013-07-01,QQQ,75.769.997
2013-08-01,QQQ,75.470.001
2013-09-01,QQQ,78.879.997
2013-10-01,QQQ,82.790.001
2013-11-01,QQQ,85.730.003
2013-12-01,QQQ,87.959.999
2014-01-01,QQQ,86.269.997
2014-02-01,QQQ,90.339.996
2014-03-01,QQQ,87.669.998
2014-04-01,QQQ,87.389.999
2014-05-01,QQQ,91.309.998
2014-06-01,QQQ,93.910.004
2014-07-01,QQQ,95.019.997
2014-08-01,QQQ,99.779.999
2014-09-01,QQQ,98.790.001
2014-10-01,QQQ,101.400.002
2014-11-01,QQQ,106.010.002
2014-12-01,QQQ,103.25
2015-01-01,QQQ,101.099.998
2015-02-01,QQQ,108.400.002
2015-03-01,QQQ,105.599.998
2015-04-01,QQQ,107.629.997
2015-05-01,QQQ,110.050.003
2015-06-01,QQQ,107.07
2015-07-01,QQQ,111.949.997
2015-08-01,QQQ,104.309.998
2015-09-01,QQQ,101.760.002
2015-10-01,QQQ,113.330.002
2015-11-01,QQQ,114.019.997
2015-12-01,QQQ,111.860.001
2016-01-01,QQQ,104.129.997
2016-02-01,QQQ,102.5
2016-03-01,QQQ,109.199.997
2016-04-01,QQQ,105.720.001
2016-05-01,QQQ,110.339.996
2016-06-01,QQQ,107.540.001
2016-07-01,QQQ,115.230.003
2016-08-01,QQQ,116.440.002
2016-09-01,QQQ,118.720.001
2016-10-01,QQQ,116.989.998
2016-11-01,QQQ,117.5
2016-12-01,QQQ,118.480.003
2017-01-01,QQQ,124.57
2017-02-01,QQQ,130.020.004
2017-03-01,QQQ,132.380.005
2017-04-01,QQQ,135.990.005
2017-05-01,QQQ,141.289.993
2017-06-01,QQQ,137.639.999
2017-07-01,QQQ,143.229.996
2017-08-01,QQQ,146.199.997
2017-09-01,QQQ,145.449.997
2017-10-01,QQQ,152.149.994
2017-11-01,QQQ,155.149.994
2017-12-01,QQQ,155.759.995
2018-01-01,QQQ,169.399.994
2018-02-01,QQQ,167.210.007
2018-03-01,QQQ,160.130.005
2018-04-01,QQQ,160.940.002
2018-05-01,QQQ,170.070.007
2018-06-01,QQQ,171.649.994
2018-07-01,QQQ,176.449.997
2018-08-01,QQQ,186.649.994
2018-09-01,QQQ,185.789.993
2018-10-01,QQQ,169.820.007
2018-11-01,QQQ,169.369.995
2018-12-01,QQQ,154.259.995
2019-01-01,QQQ,168.160.004
2019-02-01,QQQ,173.190.002
2019-03-01,QQQ,179.660.004
2019-04-01,QQQ,189.539.993
2019-05-01,QQQ,173.949.997
2019-06-01,QQQ,186.740.005
2019-07-01,QQQ,191.100.006
2019-08-01,QQQ,187.470.001
2019-09-01,QQQ,188.809.998
2019-10-01,QQQ,197.080.002
2019-11-01,QQQ,205.100.006
2019-12-01,QQQ,212.610.001
2020-01-01,QQQ,219.070.007
2020-02-01,QQQ,205.800.003
2020-03-01,QQQ,190.399.994
2020-04-01,QQQ,218.910.004
2020-05-01,QQQ,233.360.001
2020-06-01,QQQ,247.600.006
2020-07-01,QQQ,265.790.009
2020-08-01,QQQ,294.880.005
2020-09-01,QQQ,277.839.996
2020-10-01,QQQ,269.380.005
2020-11-01,QQQ,299.619.995
2020-12-01,QQQ,31.373.999
2021-01-01,QQQ,314.559.998
2021-02-01,QQQ,314.140.015
2021-03-01,QQQ,319.130.005
2021-04-01,QQQ,33.798.999
2021-05-01,QQQ,333.929.993
2021-06-01,QQQ,354.429.993
2021-07-01,QQQ,364.570.007
2021-08-01,QQQ,379.950.012
2021-09-01,QQQ,357.959.991
