date,ticker,price
2010-10-01,VOO,108.300.003
2010-11-01,VOO,108.18
2010-12-01,VOO,115.139.999
2011-01-01,VOO,117.699.997
2011-02-01,VOO,121.779.999
2011-03-01,VOO,121.239.998
2011-04-01,VOO,124.800.003
2011-05-01,VOO,123.339.996
2011-06-01,VOO,120.68
2011-07-01,VOO,118.199.997
2011-08-01,VOO,111.68
2011-09-01,VOO,103.519.997
2011-10-01,VOO,114.639.999
2011-11-01,VOO,114.300.003
2011-12-01,VOO,114.900.002
2012-01-01,VOO,120.040.001
2012-02-01,VOO,125.18
2012-03-01,VOO,128.740.005
2012-04-01,VOO,127.919.998
2012-05-01,VOO,120.239.998
2012-06-01,VOO,124.559.998
2012-07-01,VOO,126.059.998
2012-08-01,VOO,129.220.001
2012-09-01,VOO,131.839.996
2012-10-01,VOO,129.259.995
2012-11-01,VOO,130
2012-12-01,VOO,130.380.005
2013-01-01,VOO,137.119.995
2013-02-01,VOO,138.940.002
2013-03-01,VOO,143.279.999
2013-04-01,VOO,146.279.999
2013-05-01,VOO,149.679.993
2013-06-01,VOO,146.679.993
2013-07-01,VOO,154.460.007
2013-08-01,VOO,149.699.997
2013-09-01,VOO,154
2013-10-01,VOO,160.880.005
2013-11-01,VOO,165.699.997
2013-12-01,VOO,169.149.994
2014-01-01,VOO,163.179.993
2014-02-01,VOO,170.630.005
2014-03-01,VOO,171.350.006
2014-04-01,VOO,172.589.996
2014-05-01,VOO,176.550.003
2014-06-01,VOO,179.429.993
2014-07-01,VOO,176.960.007
2014-08-01,VOO,183.990.005
2014-09-01,VOO,180.589.996
2014-10-01,VOO,184.929.993
2014-11-01,VOO,190.029.999
2014-12-01,VOO,188.399.994
2015-01-01,VOO,182.990.005
2015-02-01,VOO,193.199.997
2015-03-01,VOO,189.199.997
2015-04-01,VOO,191.100.006
2015-05-01,VOO,193.490.005
2015-06-01,VOO,188.839.996
2015-07-01,VOO,192.949.997
2015-08-01,VOO,181.110.001
2015-09-01,VOO,175.710.007
2015-10-01,VOO,190.559.998
2015-11-01,VOO,191.369.995
2015-12-01,VOO,186.929.993
2016-01-01,VOO,177.75
2016-02-01,VOO,177.380.005
2016-03-01,VOO,188.559.998
2016-04-01,VOO,189.220.001
2016-05-01,VOO,192.539.993
2016-06-01,VOO,192.199.997
2016-07-01,VOO,199.279.999
2016-08-01,VOO,199.520.004
2016-09-01,VOO,198.690.002
2016-10-01,VOO,195.130.005
2016-11-01,VOO,202.399.994
2016-12-01,VOO,205.309.998
2017-01-01,VOO,208.970.001
2017-02-01,VOO,217.070.007
2017-03-01,VOO,216.350.006
2017-04-01,VOO,218.600.006
2017-05-01,VOO,221.669.998
2017-06-01,VOO,222.059.998
2017-07-01,VOO,226.639.999
2017-08-01,VOO,227.300.003
2017-09-01,VOO,230.759.995
2017-10-01,VOO,236.130.005
2017-11-01,VOO,243.350.006
2017-12-01,VOO,245.289.993
2018-01-01,VOO,25.898.999
2018-02-01,VOO,249.339.996
2018-03-01,VOO,242.080.002
2018-04-01,VOO,242.919.998
2018-05-01,VOO,248.789.993
2018-06-01,VOO,249.509.995
2018-07-01,VOO,258.399.994
2018-08-01,VOO,266.720.001
2018-09-01,VOO,267.049.988
2018-10-01,VOO,248.789.993
2018-11-01,VOO,253.479.996
2018-12-01,VOO,229.809.998
2019-01-01,VOO,248.009.995
2019-02-01,VOO,256.070.007
2019-03-01,VOO,259.540.009
2019-04-01,VOO,27.001.001
2019-05-01,VOO,252.869.995
2019-06-01,VOO,269.149.994
2019-07-01,VOO,273.079.987
2019-08-01,VOO,268.600.006
2019-09-01,VOO,272.600.006
2019-10-01,VOO,278.549.988
2019-11-01,VOO,288.649.994
2019-12-01,VOO,295.799.988
2020-01-01,VOO,295.690.002
2020-02-01,VOO,27.173.999
2020-03-01,VOO,236.820.007
2020-04-01,VOO,267.100.006
2020-05-01,VOO,279.75
2020-06-01,VOO,283.429.993
2020-07-01,VOO,300.100.006
2020-08-01,VOO,321.019.989
2020-09-01,VOO,307.649.994
2020-10-01,VOO,299.820.007
2020-11-01,VOO,332.640.015
2020-12-01,VOO,343.690.002
2021-01-01,VOO,340.179.993
2021-02-01,VOO,349.589.996
2021-03-01,VOO,364.299.988
2021-04-01,VOO,383.570.007
2021-05-01,VOO,386.130.005
2021-06-01,VOO,393.519.989
2021-07-01,VOO,403.149.994
2021-08-01,VOO,415.049.988
2021-09-01,VOO,394.399.994
