date,ticker,price
01/10/2010,CX,6.931058
01/11/2010,CX,7.144443
01/12/2010,CX,8.464269
01/01/2011,CX,7.484279
01/02/2011,CX,7.104928
01/03/2011,CX,7.057509
01/04/2011,CX,6.85993
01/05/2011,CX,6.804608
01/06/2011,CX,6.796705
01/07/2011,CX,5.563814
01/08/2011,CX,4.243989
01/09/2011,CX,2.497394
01/10/2011,CX,3.453674
01/11/2011,CX,3.682866
01/12/2011,CX,4.259795
01/01/2012,CX,5.382042
01/02/2012,CX,6.069616
01/03/2012,CX,6.378154
01/04/2012,CX,5.942533
01/05/2012,CX,4.553476
01/06/2012,CX,5.531569
01/07/2012,CX,5.720613
01/08/2012,CX,6.139795
01/09/2012,CX,6.846653
01/10/2012,CX,7.430221
01/11/2012,CX,7.315151
01/12/2012,CX,8.112421
01/01/2013,CX,8.917909
01/02/2013,CX,8.827497
01/03/2013,CX,10.03573
01/04/2013,CX,9.616547
01/05/2013,CX,9.830248
01/06/2013,CX,9.043828
01/07/2013,CX,9.838796
01/08/2013,CX,9.607999
01/09/2013,CX,9.556711
01/10/2013,CX,9.043828
01/11/2013,CX,9.34301
01/12/2013,CX,10.112334
01/01/2014,CX,10.573928
01/02/2014,CX,11.180839
01/03/2014,CX,10.796177
01/04/2014,CX,11.236914
01/05/2014,CX,11.441383
01/06/2014,CX,11.761422
01/07/2014,CX,11.165794
01/08/2014,CX,11.761422
01/09/2014,CX,11.592513
01/10/2014,CX,10.934655
01/11/2014,CX,11.121344
01/12/2014,CX,9.058873
01/01/2015,CX,7.903178
01/02/2015,CX,9.023313
01/03/2015,CX,8.418796
01/04/2015,CX,8.894231
01/05/2015,CX,8.598373
01/06/2015,CX,8.468935
01/07/2015,CX,7.858728
01/08/2015,CX,7.267012
01/09/2015,CX,6.462648
01/10/2015,CX,5.83395
01/11/2015,CX,5.824704
01/12/2015,CX,5.149778
01/01/2016,CX,4.18824
01/02/2016,CX,5.122041
01/03/2016,CX,6.730769
01/04/2016,CX,7.163462
01/05/2016,CX,6.115385
01/06/2016,CX,5.932692
01/07/2016,CX,7.355769
01/08/2016,CX,7.971154
01/09/2016,CX,7.634615
01/10/2016,CX,8.346154
01/11/2016,CX,7.509615
01/12/2016,CX,7.721154
01/01/2017,CX,8.903846
01/02/2017,CX,8.134615
01/03/2017,CX,8.721154
01/04/2017,CX,8.865385
01/05/2017,CX,8.27
01/06/2017,CX,9.42
01/07/2017,CX,9.71
01/08/2017,CX,9.31
01/09/2017,CX,9.08
01/10/2017,CX,8.11
01/11/2017,CX,7.59
01/12/2017,CX,7.5
01/01/2018,CX,8.29
01/02/2018,CX,6.55
01/03/2018,CX,6.62
01/04/2018,CX,6.21
01/05/2018,CX,5.96
01/06/2018,CX,6.56
01/07/2018,CX,7.45
01/08/2018,CX,7.09
01/09/2018,CX,7.04
01/10/2018,CX,5.04
01/11/2018,CX,5.14
01/12/2018,CX,4.82
01/01/2019,CX,5.44
01/02/2019,CX,4.85
01/03/2019,CX,4.64
01/04/2019,CX,4.6
01/05/2019,CX,4.12
01/06/2019,CX,4.24
01/07/2019,CX,3.56
01/08/2019,CX,3.75
01/09/2019,CX,3.92
01/10/2019,CX,3.77
01/11/2019,CX,3.73
01/12/2019,CX,3.78
01/01/2020,CX,4.04
01/02/2020,CX,3.28
01/03/2020,CX,2.12
01/04/2020,CX,2.12
01/05/2020,CX,2.4
01/06/2020,CX,2.88
01/07/2020,CX,3.06
01/08/2020,CX,3.21
01/09/2020,CX,3.8
01/10/2020,CX,4.15
01/11/2020,CX,4.6
01/12/2020,CX,5.17
01/01/2021,CX,5.73
01/02/2021,CX,6.61
01/03/2021,CX,6.97
01/04/2021,CX,7.89
01/05/2021,CX,8.28
01/06/2021,CX,8.4
01/07/2021,CX,8.13
01/08/2021,CX,8.2
01/09/2021,CX,7.17
