Date,ticker,price
01/10/2010,FOR,17.1
01/11/2010,FOR,18.02
01/12/2010,FOR,19.299999
01/01/2011,FOR,18.66
01/02/2011,FOR,19.26
01/03/2011,FOR,19.02
01/04/2011,FOR,19.67
01/05/2011,FOR,18.23
01/06/2011,FOR,16.43
01/07/2011,FOR,16.299999
01/08/2011,FOR,12.59
01/09/2011,FOR,10.91
01/10/2011,FOR,13
01/11/2011,FOR,15.2
01/12/2011,FOR,15.13
01/01/2012,FOR,15.92
01/02/2012,FOR,15.69
01/03/2012,FOR,15.39
01/04/2012,FOR,15.38
01/05/2012,FOR,13.49
01/06/2012,FOR,12.81
01/07/2012,FOR,11.38
01/08/2012,FOR,14.39
01/09/2012,FOR,16.66
01/10/2012,FOR,16.01
01/11/2012,FOR,14.78
01/12/2012,FOR,17.33
01/01/2013,FOR,19.030001
01/02/2013,FOR,17.42
01/03/2013,FOR,21.860001
01/04/2013,FOR,21.540001
01/05/2013,FOR,23.07
01/06/2013,FOR,20.059999
01/07/2013,FOR,21.610001
01/08/2013,FOR,19.959999
01/09/2013,FOR,21.530001
01/10/2013,FOR,22.33
01/11/2013,FOR,19.360001
01/12/2013,FOR,21.27
01/01/2014,FOR,20
01/02/2014,FOR,18.860001
01/03/2014,FOR,17.799999
01/04/2014,FOR,17.049999
01/05/2014,FOR,17.42
01/06/2014,FOR,19.09
01/07/2014,FOR,18.700001
01/08/2014,FOR,20
01/09/2014,FOR,17.719999
01/10/2014,FOR,17.450001
01/11/2014,FOR,16
01/12/2014,FOR,15.4
01/01/2015,FOR,13.27
01/02/2015,FOR,14.38
01/03/2015,FOR,15.77
01/04/2015,FOR,14.76
01/05/2015,FOR,13.35
01/06/2015,FOR,13.16
01/07/2015,FOR,12.8
01/08/2015,FOR,12.93
01/09/2015,FOR,13.15
01/10/2015,FOR,14.15
01/11/2015,FOR,13.59
01/12/2015,FOR,10.94
01/01/2016,FOR,9.08
01/02/2016,FOR,9.75
01/03/2016,FOR,13.04
01/04/2016,FOR,13.5
01/05/2016,FOR,12.24
01/06/2016,FOR,11.89
01/07/2016,FOR,12.28
01/08/2016,FOR,12.55
01/09/2016,FOR,11.71
01/10/2016,FOR,11
01/11/2016,FOR,13.4
01/12/2016,FOR,13.3
01/01/2017,FOR,13.05
01/02/2017,FOR,13.3
01/03/2017,FOR,13.65
01/04/2017,FOR,14.15
01/05/2017,FOR,14.15
01/06/2017,FOR,17.15
01/07/2017,FOR,17.15
01/08/2017,FOR,17.200001
01/09/2017,FOR,17.200001
01/10/2017,FOR,17.799999
01/11/2017,FOR,22.25
01/12/2017,FOR,22
01/01/2018,FOR,24.4
01/02/2018,FOR,24.700001
01/03/2018,FOR,21.15
01/04/2018,FOR,21.799999
01/05/2018,FOR,23.4
01/06/2018,FOR,20.75
01/07/2018,FOR,22.700001
01/08/2018,FOR,25.700001
01/09/2018,FOR,21.200001
01/10/2018,FOR,18
01/11/2018,FOR,16.040001
01/12/2018,FOR,13.85
01/01/2019,FOR,16.01
01/02/2019,FOR,16.969999
01/03/2019,FOR,17.290001
01/04/2019,FOR,19.27
01/05/2019,FOR,17.91
01/06/2019,FOR,19.549999
01/07/2019,FOR,20.66
01/08/2019,FOR,19.059999
01/09/2019,FOR,18.280001
01/10/2019,FOR,18.780001
01/11/2019,FOR,20.4
01/12/2019,FOR,20.85
01/01/2020,FOR,20.27
01/02/2020,FOR,17.889999
01/03/2020,FOR,10.35
01/04/2020,FOR,13.19
01/05/2020,FOR,15.17
01/06/2020,FOR,15.08
01/07/2020,FOR,17.309999
01/08/2020,FOR,17.77
01/09/2020,FOR,17.700001
01/10/2020,FOR,16.639999
01/11/2020,FOR,19.459999
01/12/2020,FOR,20.18
01/01/2021,FOR,21.49
01/02/2021,FOR,21.290001
01/03/2021,FOR,23.280001
01/04/2021,FOR,25.34
01/05/2021,FOR,23.01
01/06/2021,FOR,20.91
01/07/2021,FOR,20.469999
01/08/2021,FOR,20.790001
01/09/2021,FOR,18.629999
