date,ticker,price
2010-10-01,NEE,13.76
2010-11-01,NEE,12655
2010-12-01,NEE,12/01/9975
2011-01-01,NEE,13365
2011-02-01,NEE,138675
2011-03-01,NEE,13.78
2011-04-01,NEE,141425
2011-05-01,NEE,144875
2011-06-01,NEE,14365
2011-07-01,NEE,138125
2011-08-01,NEE,14.18
2011-09-01,NEE,13505
2011-10-01,NEE,01/14/2021
2011-11-01,NEE,13.86
2011-12-01,NEE,15.22
2012-01-01,NEE,149625
2012-02-01,NEE,148775
2012-03-01,NEE,15.27
2012-04-01,NEE,160875
2012-05-01,NEE,16334999
2012-06-01,NEE,17202499
2012-07-01,NEE,17725
2012-08-01,NEE,16827499
2012-09-01,NEE,175825
2012-10-01,NEE,17514999
2012-11-01,NEE,171775
2012-12-01,NEE,17297501
2013-01-01,NEE,18012501
2013-02-01,NEE,17967501
2013-03-01,NEE,19.42
2013-04-01,NEE,205075
2013-05-01,NEE,18905001
2013-06-01,NEE,20370001
2013-07-01,NEE,216525
2013-08-01,NEE,09/20/2021
2013-09-01,NEE,20040001
2013-10-01,NEE,211875
2013-11-01,NEE,21147499
2013-12-01,NEE,21405001
2014-01-01,NEE,229825
2014-02-01,NEE,228475
2014-03-01,NEE,23905001
2014-04-01,NEE,249625
2014-05-01,NEE,24.34
2014-06-01,NEE,25620001
2014-07-01,NEE,234725
2014-08-01,NEE,24612499
2014-09-01,NEE,23469999
2014-10-01,NEE,25055
2014-11-01,NEE,260975
2014-12-01,NEE,265725
2015-01-01,NEE,27309999
2015-02-01,NEE,25865
2015-03-01,NEE,26012501
2015-04-01,NEE,252325
2015-05-01,NEE,25584999
2015-06-01,NEE,245075
2015-07-01,NEE,26299999
2015-08-01,NEE,24602501
2015-09-01,NEE,24387501
2015-10-01,NEE,25665001
2015-11-01,NEE,24965
2015-12-01,NEE,259725
2016-01-01,NEE,279275
2016-02-01,NEE,28205
2016-03-01,NEE,29584999
2016-04-01,NEE,29395
2016-05-01,NEE,30030001
2016-06-01,NEE,32599998
2016-07-01,NEE,32072498
2016-08-01,NEE,30235001
2016-09-01,NEE,30.58
2016-10-01,NEE,32
2016-11-01,NEE,28557501
2016-12-01,NEE,29865
2017-01-01,NEE,30.93
2017-02-01,NEE,32.75
2017-03-01,NEE,32092499
2017-04-01,NEE,33389999
2017-05-01,NEE,35360001
2017-06-01,NEE,35032501
2017-07-01,NEE,36522499
2017-08-01,NEE,37627499
2017-09-01,NEE,36637501
2017-10-01,NEE,38767502
2017-11-01,NEE,39509998
2017-12-01,NEE,39047501
2018-01-01,NEE,39605
2018-02-01,NEE,38037498
2018-03-01,NEE,408325
2018-04-01,NEE,40977501
2018-05-01,NEE,41452499
2018-06-01,NEE,417575
2018-07-01,NEE,41884998
2018-08-01,NEE,42525002
2018-09-01,NEE,41900002
2018-10-01,NEE,43125
2018-11-01,NEE,45427502
2018-12-01,NEE,43455002
2019-01-01,NEE,44744999
2019-02-01,NEE,46.93
2019-03-01,NEE,48330002
2019-04-01,NEE,48610001
2019-05-01,NEE,49552502
2019-06-01,NEE,51215
2019-07-01,NEE,517925
2019-08-01,NEE,54.77
2019-09-01,NEE,58247501
2019-10-01,NEE,59584999
2019-11-01,NEE,58455002
2019-12-01,NEE,60540001
2020-01-01,NEE,67050003
2020-02-01,NEE,63189999
2020-03-01,NEE,60154999
2020-04-01,NEE,57779999
2020-05-01,NEE,63889999
2020-06-01,NEE,600425
2020-07-01,NEE,70175003
2020-08-01,NEE,69792503
2020-09-01,NEE,69389999
2020-10-01,NEE,73209999
2020-11-01,NEE,73589996
2020-12-01,NEE,77150002
2021-01-01,NEE,80870003
2021-02-01,NEE,73480003
2021-03-01,NEE,75610001
2021-04-01,NEE,77510002
2021-05-01,NEE,73220001
2021-06-01,NEE,73279999
2021-07-01,NEE,77900002
2021-08-01,NEE,83989998
2021-09-01,NEE,78519997
