Date,ticker,price
2010-10-01,NSRGY,54849998
2010-11-01,NSRGY,54.73
2010-12-01,NSRGY,58.82
2011-01-01,NSRGY,54220001
2011-02-01,NSRGY,56619999
2011-03-01,NSRGY,57.48
2011-04-01,NSRGY,62200001
2011-05-01,NSRGY,64330002
2011-06-01,NSRGY,62380001
2011-07-01,NSRGY,63.75
2011-08-01,NSRGY,62080002
2011-09-01,NSRGY,55099998
2011-10-01,NSRGY,57759998
2011-11-01,NSRGY,56130001
2011-12-01,NSRGY,57709999
2012-01-01,NSRGY,57529999
2012-02-01,NSRGY,61290001
2012-03-01,NSRGY,63
2012-04-01,NSRGY,61139999
2012-05-01,NSRGY,56849998
2012-06-01,NSRGY,59740002
2012-07-01,NSRGY,61630001
2012-08-01,NSRGY,62310001
2012-09-01,NSRGY,63209999
2012-10-01,NSRGY,63.34
2012-11-01,NSRGY,65.5
2012-12-01,NSRGY,65169998
2013-01-01,NSRGY,70.32
2013-02-01,NSRGY,69970001
2013-03-01,NSRGY,72470001
2013-04-01,NSRGY,71230003
2013-05-01,NSRGY,66.32
2013-06-01,NSRGY,65779999
2013-07-01,NSRGY,67970001
2013-08-01,NSRGY,65449997
2013-09-01,NSRGY,69599998
2013-10-01,NSRGY,72410004
2013-11-01,NSRGY,73110001
2013-12-01,NSRGY,73589996
2014-01-01,NSRGY,72650002
2014-02-01,NSRGY,75440002
2014-03-01,NSRGY,75220001
2014-04-01,NSRGY,77.18
2014-05-01,NSRGY,78580002
2014-06-01,NSRGY,77669998
2014-07-01,NSRGY,74150002
2014-08-01,NSRGY,77.57
2014-09-01,NSRGY,73629997
2014-10-01,NSRGY,73330002
2014-11-01,NSRGY,75050003
2014-12-01,NSRGY,72949997
2015-01-01,NSRGY,76510002
2015-02-01,NSRGY,78150002
2015-03-01,NSRGY,75220001
2015-04-01,NSRGY,77620003
2015-05-01,NSRGY,77440002
2015-06-01,NSRGY,72160004
2015-07-01,NSRGY,75599998
2015-08-01,NSRGY,73650002
2015-09-01,NSRGY,75239998
2015-10-01,NSRGY,76220001
2015-11-01,NSRGY,73940002
2015-12-01,NSRGY,74419998
2016-01-01,NSRGY,73739998
2016-02-01,NSRGY,69860001
2016-03-01,NSRGY,74610001
2016-04-01,NSRGY,74.57
2016-05-01,NSRGY,73900002
2016-06-01,NSRGY,77309998
2016-07-01,NSRGY,80230003
2016-08-01,NSRGY,79.5
2016-09-01,NSRGY,79019997
2016-10-01,NSRGY,72650002
2016-11-01,NSRGY,67300003
2016-12-01,NSRGY,71739998
2017-01-01,NSRGY,73220001
2017-02-01,NSRGY,73690002
2017-03-01,NSRGY,76900002
2017-04-01,NSRGY,77
2017-05-01,NSRGY,85160004
2017-06-01,NSRGY,87199997
2017-07-01,NSRGY,84290001
2017-08-01,NSRGY,84760002
2017-09-01,NSRGY,84010002
2017-10-01,NSRGY,84230003
2017-11-01,NSRGY,85410004
2017-12-01,NSRGY,85970001
2018-01-01,NSRGY,86400002
2018-02-01,NSRGY,79529999
2018-03-01,NSRGY,79050003
2018-04-01,NSRGY,77360001
2018-05-01,NSRGY,75669998
2018-06-01,NSRGY,77.43
2018-07-01,NSRGY,81510002
2018-08-01,NSRGY,83.75
2018-09-01,NSRGY,83199997
2018-10-01,NSRGY,84279999
2018-11-01,NSRGY,85220001
2018-12-01,NSRGY,80959999
2019-01-01,NSRGY,87239998
2019-02-01,NSRGY,90330002
2019-03-01,NSRGY,95.32
2019-04-01,NSRGY,96529999
2019-05-01,NSRGY,99160004
2019-06-01,NSRGY,103400002
2019-07-01,NSRGY,106080002
2019-08-01,NSRGY,112389999
2019-09-01,NSRGY,108400002
2019-10-01,NSRGY,107160004
2019-11-01,NSRGY,103940002
2019-12-01,NSRGY,108260002
2020-01-01,NSRGY,110260002
2020-02-01,NSRGY,102910004
2020-03-01,NSRGY,102989998
2020-04-01,NSRGY,105099998
2020-05-01,NSRGY,108029999
2020-06-01,NSRGY,110440002
2020-07-01,NSRGY,117849998
2020-08-01,NSRGY,120410004
2020-09-01,NSRGY,119260002
2020-10-01,NSRGY,112269997
2020-11-01,NSRGY,111080002
2020-12-01,NSRGY,117800003
2021-01-01,NSRGY,112300003
2021-02-01,NSRGY,104.82
2021-03-01,NSRGY,111510002
2021-04-01,NSRGY,119529999
2021-05-01,NSRGY,123669998
2021-06-01,NSRGY,124739998
2021-07-01,NSRGY,126660004
2021-08-01,NSRGY,126290001
2021-09-01,NSRGY,120209999
