date,ticker,price
2010-10-01,NVDA,3005
2010-11-01,NVDA,03/01/4025
2010-12-01,NVDA,3.85
2011-01-01,NVDA,5.98
2011-02-01,NVDA,5665
2011-03-01,NVDA,4615
2011-04-01,NVDA,5
2011-05-01,NVDA,01/05/2021
2011-06-01,NVDA,3985
2011-07-01,NVDA,03/01/4575
2011-08-01,NVDA,03/01/3275
2011-09-01,NVDA,3.1275
2011-10-01,NVDA,07/03/2021
2011-11-01,NVDA,03/01/9075
2011-12-01,NVDA,3465
2012-01-01,NVDA,03/01/6925
2012-02-01,NVDA,03/01/7875
2012-03-01,NVDA,3.85
2012-04-01,NVDA,3.25
2012-05-01,NVDA,3.1075
2012-06-01,NVDA,3455
2012-07-01,NVDA,3385
2012-08-01,NVDA,03/01/5075
2012-09-01,NVDA,3335
2012-10-01,NVDA,2995
2012-11-01,NVDA,02/01/9925
2012-12-01,NVDA,3065
2013-01-01,NVDA,3065
2013-02-01,NVDA,3165
2013-03-01,NVDA,03/01/2075
2013-04-01,NVDA,03/01/4425
2013-05-01,NVDA,03/01/6175
2013-06-01,NVDA,3.51
2013-07-01,NVDA,3.61
2013-08-01,NVDA,03/01/6875
2013-09-01,NVDA,3.89
2013-10-01,NVDA,03/01/7975
2013-11-01,NVDA,09/03/2021
2013-12-01,NVDA,4005
2014-01-01,NVDA,3925
2014-02-01,NVDA,4595
2014-03-01,NVDA,04/01/4775
2014-04-01,NVDA,04/01/6175
2014-05-01,NVDA,4.75
2014-06-01,NVDA,4635
2014-07-01,NVDA,4375
2014-08-01,NVDA,04/01/8625
2014-09-01,NVDA,04/01/6125
2014-10-01,NVDA,4885
2014-11-01,NVDA,05/01/2425
2014-12-01,NVDA,5.0125
2015-01-01,NVDA,08/04/2021
2015-02-01,NVDA,5515
2015-03-01,NVDA,05/01/2325
2015-04-01,NVDA,5.55
2015-05-01,NVDA,05/01/5325
2015-06-01,NVDA,5.0275
2015-07-01,NVDA,04/01/9875
2015-08-01,NVDA,5.62
2015-09-01,NVDA,6.1625
2015-10-01,NVDA,7.0925
2015-11-01,NVDA,7.93
2015-12-01,NVDA,8.24
2016-01-01,NVDA,07/01/3225
2016-02-01,NVDA,7.84
2016-03-01,NVDA,08/01/9075
2016-04-01,NVDA,08/01/8825
2016-05-01,NVDA,11.68
2016-06-01,NVDA,11/01/7525
2016-07-01,NVDA,14275
2016-08-01,NVDA,15335
2016-09-01,NVDA,17129999
2016-10-01,NVDA,17790001
2016-11-01,NVDA,23049999
2016-12-01,NVDA,26684999
2017-01-01,NVDA,27295
2017-02-01,NVDA,25370001
2017-03-01,NVDA,272325
2017-04-01,NVDA,26075001
2017-05-01,NVDA,36087502
2017-06-01,NVDA,36139999
2017-07-01,NVDA,40627499
2017-08-01,NVDA,42360001
2017-09-01,NVDA,44692501
2017-10-01,NVDA,51702499
2017-11-01,NVDA,50177502
2017-12-01,NVDA,48375
2018-01-01,NVDA,61450001
2018-02-01,NVDA,60.5
2018-03-01,NVDA,57897499
2018-04-01,NVDA,56224998
2018-05-01,NVDA,63047501
2018-06-01,NVDA,59224998
2018-07-01,NVDA,61215
2018-08-01,NVDA,70169998
2018-09-01,NVDA,70254997
2018-10-01,NVDA,527075
2018-11-01,NVDA,40857498
2018-12-01,NVDA,33375
2019-01-01,NVDA,359375
2019-02-01,NVDA,38564999
2019-03-01,NVDA,44889999
2019-04-01,NVDA,45.25
2019-05-01,NVDA,33865002
2019-06-01,NVDA,41057499
2019-07-01,NVDA,42.18
2019-08-01,NVDA,41877499
2019-09-01,NVDA,43517502
2019-10-01,NVDA,50255001
2019-11-01,NVDA,54185001
2019-12-01,NVDA,58825001
2020-01-01,NVDA,59107498
2020-02-01,NVDA,67517502
2020-03-01,NVDA,65900002
2020-04-01,NVDA,73.07
2020-05-01,NVDA,88754997
2020-06-01,NVDA,94977501
2020-07-01,NVDA,106147499
2020-08-01,NVDA,133744995
2020-09-01,NVDA,135304993
2020-10-01,NVDA,125339996
2020-11-01,NVDA,134014999
2020-12-01,NVDA,130550003
2021-01-01,NVDA,129897507
2021-02-01,NVDA,137145004
2021-03-01,NVDA,133482498
2021-04-01,NVDA,150095001
2021-05-01,NVDA,162445007
2021-06-01,NVDA,200024994
2021-07-01,NVDA,194990005
2021-08-01,NVDA,223850006
2021-09-01,NVDA,207160004
