"date","ticker","price"
2004-09-01,F,14.05
2004-10-01,F,13.03
2004-11-01,F,14.18
2004-12-01,F,14.64
2005-01-01,F,13.17
2005-02-01,F,12.65
2005-03-01,F,11.33
2005-04-01,F,9.11
2005-05-01,F,9.98
2005-06-01,F,10.24
2005-07-01,F,10.74
2005-08-01,F,9.97
2005-09-01,F,9.86
2005-10-01,F,8.32
2005-11-01,F,8.13
2005-12-01,F,7.72
2006-01-01,F,8.58
2006-02-01,F,7.97
2006-03-01,F,7.96
2006-04-01,F,6.95
2006-05-01,F,7.16
2006-06-01,F,6.93
2006-07-01,F,6.67
2006-08-01,F,8.37
2006-09-01,F,8.09
2006-10-01,F,8.28
2006-11-01,F,8.13
2006-12-01,F,7.51
2007-01-01,F,8.13
2007-02-01,F,7.91
2007-03-01,F,7.89
2007-04-01,F,8.04
2007-05-01,F,8.34
2007-06-01,F,9.42
2007-07-01,F,8.51
2007-08-01,F,7.81
2007-09-01,F,8.49
2007-10-01,F,8.87
2007-11-01,F,7.51
2007-12-01,F,6.73
2008-01-01,F,6.64
2008-02-01,F,6.53
2008-03-01,F,5.72
2008-04-01,F,8.26
2008-05-01,F,6.8
2008-06-01,F,4.81
2008-07-01,F,4.8
2008-08-01,F,4.46
2008-09-01,F,5.2
2008-10-01,F,2.19
2008-11-01,F,2.69
2008-12-01,F,2.29
2009-01-01,F,1.87
2009-02-01,F,2
2009-03-01,F,2.63
2009-04-01,F,5.98
2009-05-01,F,5.75
2009-06-01,F,6.07
2009-07-01,F,8
2009-08-01,F,7.6
2009-09-01,F,7.21
2009-10-01,F,7
2009-11-01,F,8.89
2009-12-01,F,10
2010-01-01,F,10.84
2010-02-01,F,11.74
2010-03-01,F,12.57
2010-04-01,F,13.02
2010-05-01,F,11.73
2010-06-01,F,10.08
2010-07-01,F,12.77
2010-08-01,F,11.29
2010-09-01,F,12.24
2010-10-01,F,14.13
2010-11-01,F,15.94
2010-12-01,F,16.790001
2011-01-01,F,15.95
2011-02-01,F,15.05
2011-03-01,F,14.91
2011-04-01,F,15.47
2011-05-01,F,14.92
2011-06-01,F,13.79
2011-07-01,F,12.21
2011-08-01,F,11.12
2011-09-01,F,9.67
2011-10-01,F,11.68
2011-11-01,F,10.6
2011-12-01,F,10.76
2012-01-01,F,12.42
2012-02-01,F,12.38
2012-03-01,F,12.48
2012-04-01,F,11.28
2012-05-01,F,10.56
2012-06-01,F,9.59
2012-07-01,F,9.24
2012-08-01,F,9.34
2012-09-01,F,9.86
2012-10-01,F,11.16
2012-11-01,F,11.45
2012-12-01,F,12.95
2013-01-01,F,12.95
2013-02-01,F,12.61
2013-03-01,F,13.15
2013-04-01,F,13.71
2013-05-01,F,15.68
2013-06-01,F,15.47
2013-07-01,F,16.879999
2013-08-01,F,16.190001
2013-09-01,F,16.870001
2013-10-01,F,17.110001
2013-11-01,F,17.08
2013-12-01,F,15.43
2014-01-01,F,14.96
2014-02-01,F,15.39
2014-03-01,F,15.6
2014-04-01,F,16.15
2014-05-01,F,16.440001
2014-06-01,F,17.24
2014-07-01,F,17.02
2014-08-01,F,17.41
2014-09-01,F,14.79
2014-10-01,F,14.09
2014-11-01,F,15.73
2014-12-01,F,15.5
2015-01-01,F,14.71
2015-02-01,F,16.34
2015-03-01,F,16.139999
2015-04-01,F,15.8
2015-05-01,F,15.17
2015-06-01,F,15.01
2015-07-01,F,14.83
2015-08-01,F,13.87
2015-09-01,F,13.57
2015-10-01,F,14.81
2015-11-01,F,14.33
2015-12-01,F,14.09
2016-01-01,F,11.94
2016-02-01,F,12.51
2016-03-01,F,13.5
2016-04-01,F,13.56
2016-05-01,F,13.49
2016-06-01,F,12.57
2016-07-01,F,12.66
2016-08-01,F,12.6
2016-09-01,F,12.07
2016-10-01,F,11.74
2016-11-01,F,11.96
2016-12-01,F,12.13
2017-01-01,F,12.36
2017-02-01,F,12.53
2017-03-01,F,11.64
2017-04-01,F,11.47
2017-05-01,F,11.12
2017-06-01,F,11.19
2017-07-01,F,11.22
2017-08-01,F,11.03
2017-09-01,F,11.97
2017-10-01,F,12.27
2017-11-01,F,12.52
2017-12-01,F,12.49
2018-01-01,F,10.97
2018-02-01,F,10.61
2018-03-01,F,11.08
2018-04-01,F,11.24
2018-05-01,F,11.55
2018-06-01,F,11.07
2018-07-01,F,10.04
2018-08-01,F,9.48
2018-09-01,F,9.25
2018-10-01,F,9.55
2018-11-01,F,9.41
2018-12-01,F,7.65
2019-01-01,F,8.8
2019-02-01,F,8.77
2019-03-01,F,8.78
2019-04-01,F,10.45
2019-05-01,F,9.52
2019-06-01,F,10.23
2019-07-01,F,9.53
2019-08-01,F,9.17
2019-09-01,F,9.16
2019-10-01,F,8.59
2019-11-01,F,9.06
2019-12-01,F,9.3
2020-01-01,F,8.82
2020-02-01,F,6.96
2020-03-01,F,4.83
2020-04-01,F,5.09
2020-05-01,F,5.71
2020-06-01,F,6.08
2020-07-01,F,6.61
2020-08-01,F,6.82
2020-09-01,F,6.66
2020-10-01,F,7.73
2020-11-01,F,9.08
2020-12-01,F,8.79
2021-01-01,F,10.53
2021-02-01,F,11.7
2021-03-01,F,12.25
2021-04-01,F,11.54
2021-05-01,F,14.53
2021-06-01,F,14.86
2021-07-01,F,13.95
2021-08-01,F,13.03
2021-09-01,F,14.16
