date,ticker,price
01/09/2004,MCN,14.9
01/10/2004,MCN,14.94
01/11/2004,MCN,14.86
01/12/2004,MCN,14.9
01/01/2005,MCN,15.36
01/02/2005,MCN,15.54
01/03/2005,MCN,15
01/04/2005,MCN,15.08
01/05/2005,MCN,15.24
01/06/2005,MCN,15.54
01/07/2005,MCN,15.8
01/08/2005,MCN,15.71
01/09/2005,MCN,15.55
01/10/2005,MCN,15.03
01/11/2005,MCN,14.78
01/12/2005,MCN,14.8
01/01/2006,MCN,14.98
01/02/2006,MCN,14.74
01/03/2006,MCN,14.73
01/04/2006,MCN,14.52
01/05/2006,MCN,13.4
01/06/2006,MCN,13.51
01/07/2006,MCN,13.73
01/08/2006,MCN,14.11
01/09/2006,MCN,14.34
01/10/2006,MCN,14.83
01/11/2006,MCN,14.62
01/12/2006,MCN,15.11
01/01/2007,MCN,15.42
01/02/2007,MCN,14.85
01/03/2007,MCN,15.25
01/04/2007,MCN,15.5
01/05/2007,MCN,14.87
01/06/2007,MCN,14.73
01/07/2007,MCN,14.33
01/08/2007,MCN,13.3
01/09/2007,MCN,13.09
01/10/2007,MCN,12.53
01/11/2007,MCN,11.49
01/12/2007,MCN,11.41
01/01/2008,MCN,12.03
01/02/2008,MCN,11.21
01/03/2008,MCN,10.62
01/04/2008,MCN,11.16
01/05/2008,MCN,11.17
01/06/2008,MCN,10
01/07/2008,MCN,9.81
01/08/2008,MCN,10
01/09/2008,MCN,8.39
01/10/2008,MCN,7.01
01/11/2008,MCN,5.67
01/12/2008,MCN,6.21
01/01/2009,MCN,5.93
01/02/2009,MCN,5.09
01/03/2009,MCN,5.69
01/04/2009,MCN,6.65
01/05/2009,MCN,6.84
01/06/2009,MCN,6.98
01/07/2009,MCN,7.71
01/08/2009,MCN,7.89
01/09/2009,MCN,8.3
01/10/2009,MCN,8.32
01/11/2009,MCN,8.59
01/12/2009,MCN,8.9
01/01/2010,MCN,8.57
01/02/2010,MCN,9
01/03/2010,MCN,9.4
01/04/2010,MCN,9.35
01/05/2010,MCN,8.25
01/06/2010,MCN,7.82
01/07/2010,MCN,8.43
01/08/2010,MCN,8.09
01/09/2010,MCN,8.89
01/10/2010,MCN,9.22
01/11/2010,MCN,8.82
01/12/2010,MCN,9.05
01/01/2011,MCN,9.01
01/02/2011,MCN,8.89
01/03/2011,MCN,8.82
01/04/2011,MCN,8.82
01/05/2011,MCN,8.68
01/06/2011,MCN,8.5
01/07/2011,MCN,8.35
01/08/2011,MCN,7.85
01/09/2011,MCN,7.11
01/10/2011,MCN,7.67
01/11/2011,MCN,7.53
01/12/2011,MCN,7.47
01/01/2012,MCN,8.02
01/02/2012,MCN,8.1
01/03/2012,MCN,8.27
01/04/2012,MCN,8.11
01/05/2012,MCN,7.51
01/06/2012,MCN,7.63
01/07/2012,MCN,7.81
01/08/2012,MCN,7.75
