"date","ticker","price"
01-10-2018,NIO,5.9
01-11-2018,NIO,7.71
01-12-2018,NIO,6.37
01-01-2019,NIO,7.88
01-02-2019,NIO,9.57
01-03-2019,NIO,5.1
01-04-2019,NIO,4.85
01-05-2019,NIO,3.05
01-06-2019,NIO,2.55
01-07-2019,NIO,3.47
01-08-2019,NIO,2.86
01-09-2019,NIO,1.56
01-10-2019,NIO,1.45
01-11-2019,NIO,2.27
01-12-2019,NIO,4.02
01-01-2020,NIO,3.78
01-02-2020,NIO,4.13
01-03-2020,NIO,2.78
01-04-2020,NIO,3.41
01-05-2020,NIO,3.98
01-06-2020,NIO,7.72
01-07-2020,NIO,11.94
01-08-2020,NIO,19.030001
01-09-2020,NIO,21.219999
01-10-2020,NIO,30.58
01-11-2020,NIO,50.529999
01-12-2020,NIO,48.740002
01-01-2021,NIO,57
01-02-2021,NIO,45.779999
01-03-2021,NIO,38.98
01-04-2021,NIO,39.84
01-05-2021,NIO,38.619999
01-06-2021,NIO,53.200001
01-07-2021,NIO,44.68
01-08-2021,NIO,39.310001
01-09-2021,NIO,35.630001
