date,ticker,price
2004-09-01,NVDA,1.21
2004-10-01,NVDA,1.205833
2004-11-01,NVDA,1.594167
2004-12-01,NVDA,1.963333
2005-01-01,NVDA,1.91
2005-02-01,NVDA,2.415833
2005-03-01,NVDA,1.98
2005-04-01,NVDA,1.8275
2005-05-01,NVDA,2.258333
2005-06-01,NVDA,2.226667
2005-07-01,NVDA,2.255
2005-08-01,NVDA,2.556667
2005-09-01,NVDA,2.856667
2005-10-01,NVDA,2.795833
2005-11-01,NVDA,3.0125
2005-12-01,NVDA,3.046667
2006-01-01,NVDA,3.746667
2006-02-01,NVDA,3.9275
2006-03-01,NVDA,4.771667
2006-04-01,NVDA,4.87
2006-05-01,NVDA,3.83
2006-06-01,NVDA,3.548333
2006-07-01,NVDA,3.69
2006-08-01,NVDA,4.851667
2006-09-01,NVDA,4.931667
2006-10-01,NVDA,5.811667
2006-11-01,NVDA,6.165
2006-12-01,NVDA,6.168333
2007-01-01,NVDA,5.108333
2007-02-01,NVDA,5.166667
2007-03-01,NVDA,4.796667
2007-04-01,NVDA,5.481667
2007-05-01,NVDA,5.773333
2007-06-01,NVDA,6.885
2007-07-01,NVDA,7.626667
2007-08-01,NVDA,8.526667
2007-09-01,NVDA,9.06
2007-10-01,NVDA,8.845
2007-11-01,NVDA,7.885
2007-12-01,NVDA,8.505
2008-01-01,NVDA,6.1475
2008-02-01,NVDA,5.3475
2008-03-01,NVDA,4.9475
2008-04-01,NVDA,5.1375
2008-05-01,NVDA,6.175
2008-06-01,NVDA,4.68
2008-07-01,NVDA,2.86
2008-08-01,NVDA,3.16
2008-09-01,NVDA,2.6775
2008-10-01,NVDA,2.19
2008-11-01,NVDA,1.8675
2008-12-01,NVDA,2.0175
2009-01-01,NVDA,1.9875
2009-02-01,NVDA,2.07
2009-03-01,NVDA,2.465
2009-04-01,NVDA,2.87
2009-05-01,NVDA,2.6075
2009-06-01,NVDA,2.8225
2009-07-01,NVDA,3.2325
2009-08-01,NVDA,3.63
2009-09-01,NVDA,3.7575
2009-10-01,NVDA,2.99
2009-11-01,NVDA,3.265
2009-12-01,NVDA,4.67
2010-01-01,NVDA,3.8475
2010-02-01,NVDA,4.05
2010-03-01,NVDA,4.35
2010-04-01,NVDA,3.9275
2010-05-01,NVDA,3.285
2010-06-01,NVDA,2.5525
2010-07-01,NVDA,2.2975
2010-08-01,NVDA,2.3325
2010-09-01,NVDA,2.92
2010-10-01,NVDA,3.005
2010-11-01,NVDA,3.4025
2010-12-01,NVDA,3.85
2011-01-01,NVDA,5.98
2011-02-01,NVDA,5.665
2011-03-01,NVDA,4.615
2011-04-01,NVDA,5
2011-05-01,NVDA,5.01
2011-06-01,NVDA,3.985
2011-07-01,NVDA,3.4575
2011-08-01,NVDA,3.3275
2011-09-01,NVDA,3.1275
2011-10-01,NVDA,3.7
2011-11-01,NVDA,3.9075
2011-12-01,NVDA,3.465
2012-01-01,NVDA,3.6925
2012-02-01,NVDA,3.7875
2012-03-01,NVDA,3.85
2012-04-01,NVDA,3.25
2012-05-01,NVDA,3.1075
2012-06-01,NVDA,3.455
2012-07-01,NVDA,3.385
2012-08-01,NVDA,3.5075
2012-09-01,NVDA,3.335
2012-10-01,NVDA,2.995
2012-11-01,NVDA,2.9925
2012-12-01,NVDA,3.065
2013-01-01,NVDA,3.065
2013-02-01,NVDA,3.165
2013-03-01,NVDA,3.2075
2013-04-01,NVDA,3.4425
2013-05-01,NVDA,3.6175
2013-06-01,NVDA,3.51
2013-07-01,NVDA,3.61
2013-08-01,NVDA,3.6875
2013-09-01,NVDA,3.89
2013-10-01,NVDA,3.7975
2013-11-01,NVDA,3.9
2013-12-01,NVDA,4.005
2014-01-01,NVDA,3.925
2014-02-01,NVDA,4.595
2014-03-01,NVDA,4.4775
2014-04-01,NVDA,4.6175
2014-05-01,NVDA,4.75
2014-06-01,NVDA,4.635
2014-07-01,NVDA,4.375
2014-08-01,NVDA,4.8625
2014-09-01,NVDA,4.6125
2014-10-01,NVDA,4.885
2014-11-01,NVDA,5.2425
2014-12-01,NVDA,5.0125
2015-01-01,NVDA,4.8
2015-02-01,NVDA,5.515
2015-03-01,NVDA,5.2325
2015-04-01,NVDA,5.55
2015-05-01,NVDA,5.5325
2015-06-01,NVDA,5.0275
2015-07-01,NVDA,4.9875
2015-08-01,NVDA,5.62
2015-09-01,NVDA,6.1625
2015-10-01,NVDA,7.0925
2015-11-01,NVDA,7.93
2015-12-01,NVDA,8.24
2016-01-01,NVDA,7.3225
2016-02-01,NVDA,7.84
2016-03-01,NVDA,8.9075
2016-04-01,NVDA,8.8825
2016-05-01,NVDA,11.68
2016-06-01,NVDA,11.7525
2016-07-01,NVDA,14.275
2016-08-01,NVDA,15.335
2016-09-01,NVDA,17.129999
2016-10-01,NVDA,17.790001
2016-11-01,NVDA,23.049999
2016-12-01,NVDA,26.684999
2017-01-01,NVDA,27.295
2017-02-01,NVDA,25.370001
2017-03-01,NVDA,27.2325
2017-04-01,NVDA,26.075001
2017-05-01,NVDA,36.087502
2017-06-01,NVDA,36.139999
2017-07-01,NVDA,40.627499
2017-08-01,NVDA,42.360001
2017-09-01,NVDA,44.692501
2017-10-01,NVDA,51.702499
2017-11-01,NVDA,50.177502
2017-12-01,NVDA,48.375
2018-01-01,NVDA,61.450001
2018-02-01,NVDA,60.5
2018-03-01,NVDA,57.897499
2018-04-01,NVDA,56.224998
2018-05-01,NVDA,63.047501
2018-06-01,NVDA,59.224998
2018-07-01,NVDA,61.215
2018-08-01,NVDA,70.169998
2018-09-01,NVDA,70.254997
2018-10-01,NVDA,52.7075
2018-11-01,NVDA,40.857498
2018-12-01,NVDA,33.375
2019-01-01,NVDA,35.9375
2019-02-01,NVDA,38.564999
2019-03-01,NVDA,44.889999
2019-04-01,NVDA,45.25
2019-05-01,NVDA,33.865002
2019-06-01,NVDA,41.057499
2019-07-01,NVDA,42.18
2019-08-01,NVDA,41.877499
2019-09-01,NVDA,43.517502
2019-10-01,NVDA,50.255001
2019-11-01,NVDA,54.185001
2019-12-01,NVDA,58.825001
2020-01-01,NVDA,59.107498
2020-02-01,NVDA,67.517502
2020-03-01,NVDA,65.900002
2020-04-01,NVDA,73.07
2020-05-01,NVDA,88.754997
2020-06-01,NVDA,94.977501
2020-07-01,NVDA,106.147499
2020-08-01,NVDA,133.744995
2020-09-01,NVDA,135.304993
2020-10-01,NVDA,125.339996
2020-11-01,NVDA,134.014999
2020-12-01,NVDA,130.550003
2021-01-01,NVDA,129.897507
2021-02-01,NVDA,137.145004
2021-03-01,NVDA,133.482498
2021-04-01,NVDA,150.095001
2021-05-01,NVDA,162.445007
2021-06-01,NVDA,200.024994
2021-07-01,NVDA,194.990005
2021-08-01,NVDA,223.850006
2021-09-01,NVDA,207.160004
