date,ticker,price
2005-11-01,PALAF,1.36974
2005-12-01,PALAF,1.324978
2006-01-01,PALAF,2.399284
2006-02-01,PALAF,2.417189
2006-03-01,PALAF,3.213966
2006-04-01,PALAF,3.187108
2006-05-01,PALAF,3.142346
2006-06-01,PALAF,2.730528
2006-07-01,PALAF,3.08863
2006-08-01,PALAF,3.661594
2006-09-01,PALAF,3.213966
2006-10-01,PALAF,3.983885
2006-11-01,PALAF,4.923903
2006-12-01,PALAF,6.132498
2007-01-01,PALAF,6.096688
2007-02-01,PALAF,6.320501
2007-03-01,PALAF,7.090421
2007-04-01,PALAF,6.98299
2007-05-01,PALAF,6.45479
2007-06-01,PALAF,6.230976
2007-07-01,PALAF,5.568487
2007-08-01,PALAF,4.449418
2007-09-01,PALAF,6.213071
2007-10-01,PALAF,6.965085
2007-11-01,PALAF,5.19248
2007-12-01,PALAF,5.210385
2008-01-01,PALAF,3.589973
2008-02-01,PALAF,5.013429
2008-03-01,PALAF,3.948075
2008-04-01,PALAF,3.589973
2008-05-01,PALAF,5.031334
2008-06-01,PALAF,5.496867
2008-07-01,PALAF,4.529991
2008-08-01,PALAF,4.521038
2008-09-01,PALAF,2.775291
2008-10-01,PALAF,1.387645
2008-11-01,PALAF,1.495076
2008-12-01,PALAF,1.638317
2009-01-01,PALAF,1.71889
2009-02-01,PALAF,1.709937
2009-03-01,PALAF,2.193375
2009-04-01,PALAF,2.837959
2009-05-01,PALAF,3.652641
2009-06-01,PALAF,3.54521
2009-07-01,PALAF,3.393017
2009-08-01,PALAF,3.581021
2009-09-01,PALAF,3.563115
2009-10-01,PALAF,3.222919
2009-11-01,PALAF,3.321397
2009-12-01,PALAF,3.366159
2010-01-01,PALAF,2.882722
2010-02-01,PALAF,2.891674
2010-03-01,PALAF,3.240824
2010-04-01,PALAF,3.303491
2010-05-01,PALAF,2.837959
2010-06-01,PALAF,2.623098
2010-07-01,PALAF,3.12444
2010-08-01,PALAF,2.999105
2010-09-01,PALAF,3.115488
2010-10-01,PALAF,3.652641
2010-11-01,PALAF,4.234557
2010-12-01,PALAF,4.521038
2011-01-01,PALAF,4.512086
2011-02-01,PALAF,4.556849
2011-03-01,PALAF,3.321397
2011-04-01,PALAF,3.205013
2011-05-01,PALAF,2.9812
2011-06-01,PALAF,2.444047
2011-07-01,PALAF,2.533572
2011-08-01,PALAF,1.969561
2011-09-01,PALAF,1.002686
2011-10-01,PALAF,1.405551
2011-11-01,PALAF,1.486124
2011-12-01,PALAF,1.235452
2012-01-01,PALAF,1.745748
2012-02-01,PALAF,1.736795
2012-03-01,PALAF,1.71889
2012-04-01,PALAF,1.468218
2012-05-01,PALAF,1.128021
2012-06-01,PALAF,1.128021
2012-07-01,PALAF,1.101164
2012-08-01,PALAF,1.2265
2012-09-01,PALAF,1.163832
2012-10-01,PALAF,1.065354
2012-11-01,PALAF,0.80573
2012-12-01,PALAF,0.975828
2013-01-01,PALAF,1.065354
2013-02-01,PALAF,1.056401
2013-03-01,PALAF,0.886303
2013-04-01,PALAF,0.707252
2013-05-01,PALAF,0.868397
2013-06-01,PALAF,0.752014
2013-07-01,PALAF,0.814682
2013-08-01,PALAF,0.465533
2013-09-01,PALAF,0.411817
2013-10-01,PALAF,0.358102
2013-11-01,PALAF,0.340197
2013-12-01,PALAF,0.376007
2014-01-01,PALAF,0.402865
2014-02-01,PALAF,0.411817
2014-03-01,PALAF,0.38496
2014-04-01,PALAF,0.358102
2014-05-01,PALAF,0.322292
2014-06-01,PALAF,0.259624
2014-07-01,PALAF,0.313339
2014-08-01,PALAF,0.34915
2014-09-01,PALAF,0.304387
2014-10-01,PALAF,0.250671
2014-11-01,PALAF,0.3
2014-12-01,PALAF,0.28
2015-01-01,PALAF,0.29
2015-02-01,PALAF,0.32
2015-03-01,PALAF,0.29
2015-04-01,PALAF,0.28
2015-05-01,PALAF,0.25
2015-06-01,PALAF,0.2
2015-07-01,PALAF,0.16
2015-08-01,PALAF,0.14
2015-09-01,PALAF,0.12
2015-10-01,PALAF,0.17
2015-11-01,PALAF,0.16
2015-12-01,PALAF,0.17
2016-01-01,PALAF,0.15
2016-02-01,PALAF,0.14
2016-03-01,PALAF,0.18
2016-04-01,PALAF,0.2
2016-05-01,PALAF,0.16
2016-06-01,PALAF,0.14
2016-07-01,PALAF,0.15
2016-08-01,PALAF,0.13
2016-09-01,PALAF,0.12
2016-10-01,PALAF,0.11
2016-11-01,PALAF,0.07
2016-12-01,PALAF,0.06
2017-01-01,PALAF,0.1
2017-02-01,PALAF,0.09
2017-03-01,PALAF,0.08
2017-04-01,PALAF,0.08
2017-05-01,PALAF,0.04
2017-06-01,PALAF,0.03
2017-07-01,PALAF,0.04
2017-08-01,PALAF,0.02
2017-09-01,PALAF,0.02
2017-10-01,PALAF,0.02
2017-11-01,PALAF,0.03
2017-12-01,PALAF,0.02
2018-01-01,PALAF,0.03
2018-02-01,PALAF,0.25
