date,ticker,price
2010-10-01,CX,6.931058
2010-11-01,CX,7.144443
2010-12-01,CX,8.464269
2011-01-01,CX,7.484279
2011-02-01,CX,7.104928
2011-03-01,CX,7.057509
2011-04-01,CX,6.85993
2011-05-01,CX,6.804608
2011-06-01,CX,6.796705
2011-07-01,CX,5.563814
2011-08-01,CX,4.243989
2011-09-01,CX,2.497394
2011-10-01,CX,3.453674
2011-11-01,CX,3.682866
2011-12-01,CX,4.259795
2012-01-01,CX,5.382042
2012-02-01,CX,6.069616
2012-03-01,CX,6.378154
2012-04-01,CX,5.942533
2012-05-01,CX,4.553476
2012-06-01,CX,5.531569
2012-07-01,CX,5.720613
2012-08-01,CX,6.139795
2012-09-01,CX,6.846653
2012-10-01,CX,7.430221
2012-11-01,CX,7.315151
2012-12-01,CX,8.112421
2013-01-01,CX,8.917909
2013-02-01,CX,8.827497
2013-03-01,CX,10.03573
2013-04-01,CX,9.616547
2013-05-01,CX,9.830248
2013-06-01,CX,9.043828
2013-07-01,CX,9.838796
2013-08-01,CX,9.607999
2013-09-01,CX,9.556711
2013-10-01,CX,9.043828
2013-11-01,CX,9.34301
2013-12-01,CX,10.112334
2014-01-01,CX,10.573928
2014-02-01,CX,11.180839
2014-03-01,CX,10.796177
2014-04-01,CX,11.236914
2014-05-01,CX,11.441383
2014-06-01,CX,11.761422
2014-07-01,CX,11.165794
2014-08-01,CX,11.761422
2014-09-01,CX,11.592513
2014-10-01,CX,10.934655
2014-11-01,CX,11.121344
2014-12-01,CX,9.058873
2015-01-01,CX,7.903178
2015-02-01,CX,9.023313
2015-03-01,CX,8.418796
2015-04-01,CX,8.894231
2015-05-01,CX,8.598373
2015-06-01,CX,8.468935
2015-07-01,CX,7.858728
2015-08-01,CX,7.267012
2015-09-01,CX,6.462648
2015-10-01,CX,5.83395
2015-11-01,CX,5.824704
2015-12-01,CX,5.149778
2016-01-01,CX,4.18824
2016-02-01,CX,5.122041
2016-03-01,CX,6.730769
2016-04-01,CX,7.163462
2016-05-01,CX,6.115385
2016-06-01,CX,5.932692
2016-07-01,CX,7.355769
2016-08-01,CX,7.971154
2016-09-01,CX,7.634615
2016-10-01,CX,8.346154
2016-11-01,CX,7.509615
2016-12-01,CX,7.721154
2017-01-01,CX,8.903846
2017-02-01,CX,8.134615
2017-03-01,CX,8.721154
2017-04-01,CX,8.865385
2017-05-01,CX,8.27
2017-06-01,CX,9.42
2017-07-01,CX,9.71
2017-08-01,CX,9.31
2017-09-01,CX,9.08
2017-10-01,CX,8.11
2017-11-01,CX,7.59
2017-12-01,CX,7.5
2018-01-01,CX,8.29
2018-02-01,CX,6.55
2018-03-01,CX,6.62
2018-04-01,CX,6.21
2018-05-01,CX,5.96
2018-06-01,CX,6.56
2018-07-01,CX,7.45
2018-08-01,CX,7.09
2018-09-01,CX,7.04
2018-10-01,CX,5.04
2018-11-01,CX,5.14
2018-12-01,CX,4.82
2019-01-01,CX,5.44
2019-02-01,CX,4.85
2019-03-01,CX,4.64
2019-04-01,CX,4.6
2019-05-01,CX,4.12
2019-06-01,CX,4.24
2019-07-01,CX,3.56
2019-08-01,CX,3.75
2019-09-01,CX,3.92
2019-10-01,CX,3.77
2019-11-01,CX,3.73
2019-12-01,CX,3.78
2020-01-01,CX,4.04
2020-02-01,CX,3.28
2020-03-01,CX,2.12
2020-04-01,CX,2.12
2020-05-01,CX,2.4
2020-06-01,CX,2.88
2020-07-01,CX,3.06
2020-08-01,CX,3.21
2020-09-01,CX,3.8
2020-10-01,CX,4.15
2020-11-01,CX,4.6
2020-12-01,CX,5.17
2021-01-01,CX,5.73
2021-02-01,CX,6.61
2021-03-01,CX,6.97
2021-04-01,CX,7.89
2021-05-01,CX,8.28
2021-06-01,CX,8.4
2021-07-01,CX,8.13
2021-08-01,CX,8.2
2021-09-01,CX,7.17
