date,ticker,price
2010-10-01,PALAF,3.652641
2010-11-01,PALAF,4.234557
2010-12-01,PALAF,4.521038
2011-01-01,PALAF,4.512086
2011-02-01,PALAF,4.556849
2011-03-01,PALAF,3.321397
2011-04-01,PALAF,3.205013
2011-05-01,PALAF,2.9812
2011-06-01,PALAF,2.444047
2011-07-01,PALAF,2.533572
2011-08-01,PALAF,1.969561
2011-09-01,PALAF,1.002686
2011-10-01,PALAF,1.405551
2011-11-01,PALAF,1.486124
2011-12-01,PALAF,1.235452
2012-01-01,PALAF,1.745748
2012-02-01,PALAF,1.736795
2012-03-01,PALAF,1.71889
2012-04-01,PALAF,1.468218
2012-05-01,PALAF,1.128021
2012-06-01,PALAF,1.128021
2012-07-01,PALAF,1.101164
2012-08-01,PALAF,1.2265
2012-09-01,PALAF,1.163832
2012-10-01,PALAF,1.065354
2012-11-01,PALAF,0.80573
2012-12-01,PALAF,0.975828
2013-01-01,PALAF,1.065354
2013-02-01,PALAF,1.056401
2013-03-01,PALAF,0.886303
2013-04-01,PALAF,0.707252
2013-05-01,PALAF,0.868397
2013-06-01,PALAF,0.752014
2013-07-01,PALAF,0.814682
2013-08-01,PALAF,0.465533
2013-09-01,PALAF,0.411817
2013-10-01,PALAF,0.358102
2013-11-01,PALAF,0.340197
2013-12-01,PALAF,0.376007
2014-01-01,PALAF,0.402865
2014-02-01,PALAF,0.411817
2014-03-01,PALAF,0.38496
2014-04-01,PALAF,0.358102
2014-05-01,PALAF,0.322292
2014-06-01,PALAF,0.259624
2014-07-01,PALAF,0.313339
2014-08-01,PALAF,0.34915
2014-09-01,PALAF,0.304387
2014-10-01,PALAF,0.250671
2014-11-01,PALAF,0.3
2014-12-01,PALAF,0.28
2015-01-01,PALAF,0.29
2015-02-01,PALAF,0.32
2015-03-01,PALAF,0.29
2015-04-01,PALAF,0.28
2015-05-01,PALAF,0.25
2015-06-01,PALAF,0.2
2015-07-01,PALAF,0.16
2015-08-01,PALAF,0.14
2015-09-01,PALAF,0.12
2015-10-01,PALAF,0.17
2015-11-01,PALAF,0.16
2015-12-01,PALAF,0.17
2016-01-01,PALAF,0.15
2016-02-01,PALAF,0.14
2016-03-01,PALAF,0.18
2016-04-01,PALAF,0.2
2016-05-01,PALAF,0.16
2016-06-01,PALAF,0.14
2016-07-01,PALAF,0.15
2016-08-01,PALAF,0.13
2016-09-01,PALAF,0.12
2016-10-01,PALAF,0.11
2016-11-01,PALAF,0.07
2016-12-01,PALAF,0.06
2017-01-01,PALAF,0.1
2017-02-01,PALAF,0.09
2017-03-01,PALAF,0.08
2017-04-01,PALAF,0.08
2017-05-01,PALAF,0.04
2017-06-01,PALAF,0.03
2017-07-01,PALAF,0.04
2017-08-01,PALAF,0.02
2017-09-01,PALAF,0.02
2017-10-01,PALAF,0.02
2017-11-01,PALAF,0.03
2017-12-01,PALAF,0.02
2018-01-01,PALAF,0.03
2018-02-01,PALAF,0.25
2018-03-01,PALAF,0.02
2018-04-01,PALAF,0.1
2018-05-01,PALAF,0.25
2018-06-01,PALAF,0.15
2018-07-01,PALAF,0.33
2018-08-01,PALAF,0.15
2018-09-01,PALAF,0.15
2018-10-01,PALAF,0.13
2018-11-01,PALAF,0.14
2018-12-01,PALAF,0.15
2019-01-01,PALAF,0.13
2019-02-01,PALAF,0.13
2019-03-01,PALAF,0.1
2019-04-01,PALAF,0.09
2019-05-01,PALAF,0.09
2019-06-01,PALAF,0.09
2019-07-01,PALAF,0.1
2019-08-01,PALAF,0.11
2019-09-01,PALAF,0.06
2019-10-01,PALAF,0.06
2019-11-01,PALAF,0.06
2019-12-01,PALAF,0.07
2020-01-01,PALAF,0.06
2020-02-01,PALAF,0.05
2020-03-01,PALAF,0.04
2020-04-01,PALAF,0.07
2020-05-01,PALAF,0.08
2020-06-01,PALAF,0.07
2020-07-01,PALAF,0.1
2020-08-01,PALAF,0.13
2020-09-01,PALAF,0.1
2020-10-01,PALAF,0.09
2020-11-01,PALAF,0.12
2020-12-01,PALAF,0.21
2021-01-01,PALAF,0.22
2021-02-01,PALAF,0.33
2021-03-01,PALAF,0.29
2021-04-01,PALAF,0.32
2021-05-01,PALAF,0.41
2021-06-01,PALAF,0.37
2021-07-01,PALAF,0.38
2021-08-01,PALAF,0.38
2021-09-01,PALAF,0.54
